# Elastic Scattering results summary.

Temperature 50.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.099507e-02    7.196527e-06    -3.969944e-09   9.662435e-10    0.00449         
2.01    1.099468e-02    7.195569e-06    2.597895e-05    2.356570e-08    0.004496        
4.01    1.099348e-02    7.196070e-06    5.202435e-05    4.352119e-08    0.004496        
6.01    1.098714e-02    7.195573e-06    7.781786e-05    6.421674e-08    0.004492        
8.01    1.097612e-02    7.194187e-06    1.034435e-04    8.583261e-08    0.004483        
10.01   1.096253e-02    7.193855e-06    1.287597e-04    1.075837e-07    0.00447         
12.01   1.094736e-02    7.194005e-06    1.539558e-04    1.300651e-07    0.004464        
14.01   1.093124e-02    7.192946e-06    1.790043e-04    1.517847e-07    0.004452        
16.01   1.091465e-02    7.191939e-06    2.038990e-04    1.729069e-07    0.004447        
18.01   1.089779e-02    7.190832e-06    2.286634e-04    1.948549e-07    0.004442        
20.01   1.088050e-02    7.189761e-06    2.532820e-04    2.151465e-07    0.004432        
22.01   1.086280e-02    7.189074e-06    2.777713e-04    2.370919e-07    0.004424        
24.01   1.084509e-02    7.187152e-06    3.019675e-04    2.585733e-07    0.004415        
26.01   1.082698e-02    7.185023e-06    3.259858e-04    2.794296e-07    0.004406        
28.01   1.080888e-02    7.183331e-06    3.498989e-04    3.013004e-07    0.004394        
30.01   1.079066e-02    7.181262e-06    3.737026e-04    3.224630e-07    0.004386        
32.01   1.077204e-02    7.180826e-06    3.972721e-04    3.457709e-07    0.004372        
34.01   1.075373e-02    7.179847e-06    4.206439e-04    3.670543e-07    0.004364        
36.01   1.073525e-02    7.178441e-06    4.439411e-04    3.905234e-07    0.004354        
38.01   1.071665e-02    7.175461e-06    4.669684e-04    4.116843e-07    0.004348        
40.01   1.069786e-02    7.174710e-06    4.898131e-04    4.343114e-07    0.004344        
42.01   1.067914e-02    7.171065e-06    5.125860e-04    4.555295e-07    0.004335        
44.01   1.066023e-02    7.168955e-06    5.351629e-04    4.769574e-07    0.004323        
46.01   1.064117e-02    7.166695e-06    5.575297e-04    4.988953e-07    0.004315        
48.01   1.062199e-02    7.164172e-06    5.797236e-04    5.220581e-07    0.004308        
50.00   1.060287e-02    7.160559e-06    6.018568e-04    5.434030e-07    0.004293        
52.00   1.058368e-02    7.157568e-06    6.237854e-04    5.658297e-07    0.00428         
54.00   1.056427e-02    7.153626e-06    6.454070e-04    5.870551e-07    0.004271        
56.00   1.054481e-02    7.150466e-06    6.669709e-04    6.093988e-07    0.00426         
58.00   1.052541e-02    7.147988e-06    6.882507e-04    6.312807e-07    0.004249        
60.00   1.050572e-02    7.143196e-06    7.094316e-04    6.530324e-07    0.004238        
62.00   1.048607e-02    7.138666e-06    7.304251e-04    6.736960e-07    0.004228        
64.00   1.046641e-02    7.134942e-06    7.512992e-04    6.954380e-07    0.004218        
66.00   1.044678e-02    7.131125e-06    7.719207e-04    7.173523e-07    0.004207        
68.00   1.042687e-02    7.126282e-06    7.923830e-04    7.378874e-07    0.004198        
70.00   1.040706e-02    7.122352e-06    8.127416e-04    7.586653e-07    0.004185        
72.00   1.038709e-02    7.118713e-06    8.329141e-04    7.803370e-07    0.004177        
74.00   1.036709e-02    7.113725e-06    8.528293e-04    8.016181e-07    0.004168        
76.00   1.034689e-02    7.107290e-06    8.726041e-04    8.209512e-07    0.004154        
78.00   1.032677e-02    7.102895e-06    8.921812e-04    8.426918e-07    0.004143        
80.00   1.030668e-02    7.097980e-06    9.117057e-04    8.645278e-07    0.004134        
82.00   1.028625e-02    7.092270e-06    9.309240e-04    8.854052e-07    0.004124        
84.00   1.026605e-02    7.085770e-06    9.500482e-04    9.055115e-07    0.004116        
86.00   1.024582e-02    7.080899e-06    9.690164e-04    9.265021e-07    0.004105        
88.00   1.022540e-02    7.075796e-06    9.876900e-04    9.477115e-07    0.004097        
90.00   1.020499e-02    7.070478e-06    1.006338e-03    9.688796e-07    0.004089        
92.00   1.018447e-02    7.063715e-06    1.024635e-03    9.895205e-07    0.004082        
94.00   1.016404e-02    7.058444e-06    1.042780e-03    1.010635e-06    0.004068        
96.00   1.014339e-02    7.053639e-06    1.060791e-03    1.032084e-06    0.004054        
98.00   1.012278e-02    7.047192e-06    1.078654e-03    1.051950e-06    0.004046        
100.00  1.010216e-02    7.042605e-06    1.096426e-03    1.073791e-06    0.004039        
