# Elastic Scattering results summary.

Temperature 0.5000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.625937e-01    8.540853e-05    9.691807e-05    -2.150269e-07   0.01183         
2.01    1.603104e-01    8.514339e-05    4.616359e-03    2.064363e-06    0.01165         
4.01    1.569454e-01    8.473782e-05    8.796137e-03    4.853140e-06    0.01144         
6.01    1.533538e-01    8.439142e-05    1.257681e-02    7.562975e-06    0.01129         
8.01    1.496991e-01    8.379785e-05    1.600693e-02    1.001084e-05    0.01105         
10.01   1.459668e-01    8.327437e-05    1.903962e-02    1.257201e-05    0.01089         
12.01   1.421483e-01    8.257351e-05    2.166830e-02    1.500152e-05    0.01067         
14.01   1.383257e-01    8.173747e-05    2.392486e-02    1.727260e-05    0.01052         
16.01   1.345932e-01    8.074720e-05    2.585805e-02    1.944661e-05    0.01027         
18.01   1.309045e-01    7.963514e-05    2.749796e-02    2.156257e-05    0.01004         
20.01   1.273115e-01    7.842100e-05    2.884639e-02    2.359525e-05    0.009891        
22.01   1.238227e-01    7.714404e-05    2.996557e-02    2.547270e-05    0.009744        
24.01   1.204407e-01    7.570383e-05    3.087141e-02    2.717742e-05    0.009562        
26.01   1.171769e-01    7.433860e-05    3.159288e-02    2.885601e-05    0.009369        
28.01   1.140287e-01    7.289605e-05    3.214817e-02    3.042082e-05    0.009179        
30.01   1.109941e-01    7.138590e-05    3.256323e-02    3.187398e-05    0.008978        
32.01   1.080693e-01    6.983956e-05    3.285024e-02    3.319648e-05    0.008794        
34.01   1.052579e-01    6.817150e-05    3.303488e-02    3.434840e-05    0.008615        
36.01   1.025770e-01    6.652384e-05    3.314291e-02    3.547841e-05    0.008412        
38.01   9.999932e-02    6.479764e-05    3.317461e-02    3.652238e-05    0.008242        
40.01   9.753470e-02    6.318997e-05    3.314613e-02    3.737816e-05    0.008056        
42.01   9.516437e-02    6.157055e-05    3.306151e-02    3.818036e-05    0.007888        
44.01   9.290059e-02    5.986332e-05    3.293945e-02    3.900064e-05    0.00772         
46.01   9.072361e-02    5.825024e-05    3.277753e-02    3.967885e-05    0.007546        
48.01   8.863592e-02    5.668536e-05    3.258252e-02    4.021071e-05    0.007397        
50.00   8.663685e-02    5.515077e-05    3.236487e-02    4.064733e-05    0.007264        
52.00   8.470898e-02    5.353798e-05    3.212025e-02    4.105375e-05    0.007114        
54.00   8.286163e-02    5.205414e-05    3.186110e-02    4.142678e-05    0.00695         
56.00   8.108331e-02    5.057439e-05    3.158385e-02    4.175037e-05    0.006815        
58.00   7.936720e-02    4.909569e-05    3.129480e-02    4.195838e-05    0.006639        
60.00   7.771504e-02    4.766405e-05    3.099473e-02    4.213981e-05    0.00652         
62.00   7.612824e-02    4.630569e-05    3.068885e-02    4.225270e-05    0.006344        
64.00   7.458580e-02    4.497182e-05    3.037192e-02    4.229437e-05    0.006175        
66.00   7.310173e-02    4.365241e-05    3.005183e-02    4.232258e-05    0.006065        
68.00   7.167118e-02    4.234912e-05    2.973259e-02    4.236136e-05    0.00588         
70.00   7.028580e-02    4.112468e-05    2.940438e-02    4.227429e-05    0.005782        
72.00   6.894685e-02    3.989488e-05    2.907329e-02    4.218236e-05    0.005697        
74.00   6.764768e-02    3.873367e-05    2.874421e-02    4.207498e-05    0.005558        
76.00   6.637782e-02    3.761377e-05    2.840712e-02    4.195989e-05    0.005367        
78.00   6.516952e-02    3.650822e-05    2.808235e-02    4.183212e-05    0.005239        
80.00   6.397926e-02    3.543551e-05    2.774579e-02    4.164124e-05    0.005121        
82.00   6.283915e-02    3.437748e-05    2.742178e-02    4.142746e-05    0.004979        
84.00   6.173316e-02    3.334421e-05    2.709870e-02    4.120698e-05    0.004833        
86.00   6.064828e-02    3.240858e-05    2.676724e-02    4.093374e-05    0.004766        
88.00   5.957948e-02    3.147514e-05    2.643640e-02    4.071715e-05    0.004571        
90.00   5.857675e-02    3.061123e-05    2.612795e-02    4.042996e-05    0.004577        
92.00   5.758957e-02    2.970226e-05    2.581202e-02    4.017266e-05    0.004371        
94.00   5.660976e-02    2.880922e-05    2.548791e-02    3.980399e-05    0.004265        
96.00   5.565848e-02    2.801343e-05    2.516797e-02    3.950948e-05    0.004131        
98.00   5.474697e-02    2.722044e-05    2.486570e-02    3.917401e-05    0.003885        
100.00  5.385097e-02    2.645620e-05    2.456160e-02    3.882419e-05    0.003911        
