# Elastic Scattering results summary.

Temperature 5.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.309204e-01    8.540853e-05    9.092199e-05    -2.150269e-07   0.01036         
2.01    1.295862e-01    8.514339e-05    3.044556e-03    2.064363e-06    0.01024         
4.01    1.274563e-01    8.473782e-05    5.820207e-03    4.853140e-06    0.01011         
6.01    1.252038e-01    8.439142e-05    8.386532e-03    7.562975e-06    0.009996        
8.01    1.228876e-01    8.379785e-05    1.077215e-02    1.001084e-05    0.009833        
10.01   1.205106e-01    8.327437e-05    1.295206e-02    1.257201e-05    0.00971         
12.01   1.180724e-01    8.257351e-05    1.491899e-02    1.500152e-05    0.009562        
14.01   1.156075e-01    8.173747e-05    1.668337e-02    1.727260e-05    0.009441        
16.01   1.131579e-01    8.074720e-05    1.826164e-02    1.944661e-05    0.009269        
18.01   1.107094e-01    7.963514e-05    1.966333e-02    2.156257e-05    0.009103        
20.01   1.082892e-01    7.842100e-05    2.088680e-02    2.359525e-05    0.008981        
22.01   1.059030e-01    7.714404e-05    2.196000e-02    2.547270e-05    0.008856        
24.01   1.035569e-01    7.570383e-05    2.288611e-02    2.717742e-05    0.008714        
26.01   1.012636e-01    7.433860e-05    2.368153e-02    2.885601e-05    0.008562        
28.01   9.902276e-02    7.289605e-05    2.435398e-02    3.042082e-05    0.008411        
30.01   9.683523e-02    7.138590e-05    2.491724e-02    3.187398e-05    0.008251        
32.01   9.470396e-02    6.983956e-05    2.537898e-02    3.319648e-05    0.008103        
34.01   9.263107e-02    6.817150e-05    2.575394e-02    3.434840e-05    0.007957        
36.01   9.063108e-02    6.652384e-05    2.605876e-02    3.547841e-05    0.007792        
38.01   8.868891e-02    6.479764e-05    2.629459e-02    3.652238e-05    0.007652        
40.01   8.681274e-02    6.318997e-05    2.647192e-02    3.737816e-05    0.007498        
42.01   8.499171e-02    6.157055e-05    2.659459e-02    3.818036e-05    0.007359        
44.01   8.323773e-02    5.986332e-05    2.667620e-02    3.900064e-05    0.007217        
46.01   8.153680e-02    5.825024e-05    2.671566e-02    3.967885e-05    0.007066        
48.01   7.989290e-02    5.668536e-05    2.671827e-02    4.021071e-05    0.006939        
50.00   7.830677e-02    5.515077e-05    2.669231e-02    4.064733e-05    0.006824        
52.00   7.676626e-02    5.353798e-05    2.663516e-02    4.105375e-05    0.006694        
54.00   7.528057e-02    5.205414e-05    2.655695e-02    4.142678e-05    0.00655         
56.00   7.384165e-02    5.057439e-05    2.645536e-02    4.175037e-05    0.006434        
58.00   7.244389e-02    4.909569e-05    2.633568e-02    4.195838e-05    0.006277        
60.00   7.109081e-02    4.766405e-05    2.619925e-02    4.213981e-05    0.006174        
62.00   6.978440e-02    4.630569e-05    2.605033e-02    4.225270e-05    0.006016        
64.00   6.850748e-02    4.497182e-05    2.588546e-02    4.229437e-05    0.005863        
66.00   6.727241e-02    4.365241e-05    2.571123e-02    4.232258e-05    0.005765        
68.00   6.607674e-02    4.234912e-05    2.553151e-02    4.236136e-05    0.005594        
70.00   6.491340e-02    4.112468e-05    2.533856e-02    4.227429e-05    0.005507        
72.00   6.378436e-02    3.989488e-05    2.513769e-02    4.218236e-05    0.005432        
74.00   6.268360e-02    3.873367e-05    2.493321e-02    4.207498e-05    0.005303        
76.00   6.160305e-02    3.761377e-05    2.471696e-02    4.195989e-05    0.005125        
78.00   6.057184e-02    3.650822e-05    2.450677e-02    4.183212e-05    0.005005        
80.00   5.955137e-02    3.543551e-05    2.428197e-02    4.164124e-05    0.004896        
82.00   5.857115e-02    3.437748e-05    2.406384e-02    4.142746e-05    0.004765        
84.00   5.761702e-02    3.334421e-05    2.384276e-02    4.120698e-05    0.004625        
86.00   5.667750e-02    3.240858e-05    2.361075e-02    4.093374e-05    0.004565        
88.00   5.574816e-02    3.147514e-05    2.337573e-02    4.071715e-05    0.004379        
90.00   5.487548e-02    3.061123e-05    2.315693e-02    4.042996e-05    0.004391        
92.00   5.401310e-02    2.970226e-05    2.292861e-02    4.017266e-05    0.004192        
94.00   5.315349e-02    2.880922e-05    2.269014e-02    3.980399e-05    0.004091        
96.00   5.231686e-02    2.801343e-05    2.245229e-02    3.950948e-05    0.003964        
98.00   5.151386e-02    2.722044e-05    2.222780e-02    3.917401e-05    0.003724        
100.00  5.072219e-02    2.645620e-05    2.199910e-02    3.882419e-05    0.003755        
