# Elastic Scattering results summary.

Temperature 200.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.393779e-02    8.540853e-05    2.703427e-07    -2.150269e-07   0.001933        
2.01    1.393764e-02    8.514339e-05    3.457661e-05    2.064363e-06    0.001947        
4.01    1.393561e-02    8.473782e-05    6.884106e-05    4.853140e-06    0.001938        
6.01    1.392698e-02    8.439142e-05    1.028468e-04    7.562975e-06    0.001936        
8.01    1.391231e-02    8.379785e-05    1.365992e-04    1.001084e-05    0.001928        
10.01   1.389390e-02    8.327437e-05    1.700979e-04    1.257201e-05    0.001922        
12.01   1.387350e-02    8.257351e-05    2.033667e-04    1.500152e-05    0.001918        
14.01   1.385195e-02    8.173747e-05    2.364104e-04    1.727260e-05    0.001916        
16.01   1.382971e-02    8.074720e-05    2.692307e-04    1.944661e-05    0.001912        
18.01   1.380699e-02    7.963514e-05    3.018320e-04    2.156257e-05    0.001908        
20.01   1.378391e-02    7.842100e-05    3.342021e-04    2.359525e-05    0.001906        
22.01   1.376056e-02    7.714404e-05    3.663252e-04    2.547270e-05    0.001902        
24.01   1.373698e-02    7.570383e-05    3.982295e-04    2.717742e-05    0.001899        
26.01   1.371323e-02    7.433860e-05    4.299213e-04    2.885601e-05    0.001894        
28.01   1.368930e-02    7.289605e-05    4.613772e-04    3.042082e-05    0.00189         
30.01   1.366520e-02    7.138590e-05    4.926058e-04    3.187398e-05    0.001884        
32.01   1.364097e-02    6.983956e-05    5.236112e-04    3.319648e-05    0.00188         
34.01   1.361651e-02    6.817150e-05    5.543769e-04    3.434840e-05    0.001875        
36.01   1.359190e-02    6.652384e-05    5.849059e-04    3.547841e-05    0.001869        
38.01   1.356714e-02    6.479764e-05    6.151993e-04    3.652238e-05    0.001862        
40.01   1.354225e-02    6.318997e-05    6.452446e-04    3.737816e-05    0.001855        
42.01   1.351691e-02    6.157055e-05    6.750087e-04    3.818036e-05    0.001847        
44.01   1.349164e-02    5.986332e-05    7.045782e-04    3.900064e-05    0.00184         
46.01   1.346579e-02    5.825024e-05    7.339103e-04    3.967885e-05    0.001825        
48.01   1.343984e-02    5.668536e-05    7.630887e-04    4.021071e-05    0.001819        
50.00   1.341366e-02    5.515077e-05    7.919000e-04    4.064733e-05    0.001814        
52.00   1.338663e-02    5.353798e-05    8.204057e-04    4.105375e-05    0.001802        
54.00   1.335968e-02    5.205414e-05    8.486934e-04    4.142678e-05    0.001787        
56.00   1.333255e-02    5.057439e-05    8.766661e-04    4.175037e-05    0.001784        
58.00   1.330413e-02    4.909569e-05    9.045500e-04    4.195838e-05    0.001748        
60.00   1.327537e-02    4.766405e-05    9.320723e-04    4.213981e-05    0.001749        
62.00   1.324670e-02    4.630569e-05    9.591528e-04    4.225270e-05    0.001713        
64.00   1.321655e-02    4.497182e-05    9.859396e-04    4.229437e-05    0.001676        
66.00   1.318551e-02    4.365241e-05    1.012576e-03    4.232258e-05    0.001662        
68.00   1.315478e-02    4.234912e-05    1.038812e-03    4.236136e-05    0.001607        
70.00   1.312312e-02    4.112468e-05    1.064866e-03    4.227429e-05    0.001608        
72.00   1.309115e-02    3.989488e-05    1.090521e-03    4.218236e-05    0.001609        
74.00   1.305727e-02    3.873367e-05    1.116034e-03    4.207498e-05    0.001563        
76.00   1.302160e-02    3.761377e-05    1.140600e-03    4.195989e-05    0.001508        
78.00   1.298808e-02    3.650822e-05    1.165817e-03    4.183212e-05    0.001457        
80.00   1.295131e-02    3.543551e-05    1.189672e-03    4.164124e-05    0.001427        
82.00   1.291586e-02    3.437748e-05    1.213820e-03    4.142746e-05    0.001396        
84.00   1.287992e-02    3.334421e-05    1.237792e-03    4.120698e-05    0.00133         
86.00   1.284154e-02    3.240858e-05    1.260777e-03    4.093374e-05    0.00133         
88.00   1.280004e-02    3.147514e-05    1.283339e-03    4.071715e-05    0.00124         
90.00   1.276394e-02    3.061123e-05    1.306387e-03    4.042996e-05    0.001297        
92.00   1.272508e-02    2.970226e-05    1.328704e-03    4.017266e-05    0.001183        
94.00   1.268142e-02    2.880922e-05    1.350444e-03    3.980399e-05    0.001146        
96.00   1.263782e-02    2.801343e-05    1.371220e-03    3.950948e-05    0.001121        
98.00   1.259638e-02    2.722044e-05    1.393092e-03    3.917401e-05    0.0009594       
100.00  1.255316e-02    2.645620e-05    1.413891e-03    3.882419e-05    0.001049        
