# Elastic Scattering results summary.

Temperature 10.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.076585e-01    8.540853e-05    7.528051e-05    -2.150269e-07   0.009125        
2.01    1.068597e-01    8.514339e-05    2.083655e-03    2.064363e-06    0.009047        
4.01    1.054507e-01    8.473782e-05    3.992603e-03    4.853140e-06    0.008951        
6.01    1.039660e-01    8.439142e-05    5.785120e-03    7.562975e-06    0.008872        
8.01    1.024335e-01    8.379785e-05    7.478090e-03    1.001084e-05    0.00876         
10.01   1.008586e-01    8.327437e-05    9.058055e-03    1.257201e-05    0.008664        
12.01   9.924242e-02    8.257351e-05    1.052070e-02    1.500152e-05    0.008558        
14.01   9.760103e-02    8.173747e-05    1.186964e-02    1.727260e-05    0.008467        
16.01   9.595235e-02    8.074720e-05    1.311074e-02    1.944661e-05    0.008344        
18.01   9.429308e-02    7.963514e-05    1.424623e-02    2.156257e-05    0.008226        
20.01   9.263675e-02    7.842100e-05    1.527459e-02    2.359525e-05    0.008128        
22.01   9.098638e-02    7.714404e-05    1.620831e-02    2.547270e-05    0.008025        
24.01   8.934651e-02    7.570383e-05    1.704570e-02    2.717742e-05    0.007915        
26.01   8.772787e-02    7.433860e-05    1.779585e-02    2.885601e-05    0.007797        
28.01   8.613006e-02    7.289605e-05    1.846094e-02    3.042082e-05    0.007678        
30.01   8.455441e-02    7.138590e-05    1.904773e-02    3.187398e-05    0.007552        
32.01   8.300544e-02    6.983956e-05    1.956027e-02    3.319648e-05    0.007436        
34.01   8.148374e-02    6.817150e-05    2.000611e-02    3.434840e-05    0.007318        
36.01   8.000043e-02    6.652384e-05    2.039523e-02    3.547841e-05    0.007187        
38.01   7.854748e-02    6.479764e-05    2.072849e-02    3.652238e-05    0.007073        
40.01   7.713082e-02    6.318997e-05    2.101191e-02    3.737816e-05    0.006948        
42.01   7.574422e-02    6.157055e-05    2.124842e-02    3.818036e-05    0.006833        
44.01   7.439822e-02    5.986332e-05    2.144727e-02    3.900064e-05    0.006715        
46.01   7.308257e-02    5.825024e-05    2.160779e-02    3.967885e-05    0.006587        
48.01   7.180172e-02    5.668536e-05    2.173362e-02    4.021071e-05    0.00648         
50.00   7.055687e-02    5.515077e-05    2.183084e-02    4.064733e-05    0.006381        
52.00   6.933950e-02    5.353798e-05    2.189768e-02    4.105375e-05    0.006271        
54.00   6.815817e-02    5.205414e-05    2.194201e-02    4.142678e-05    0.006146        
56.00   6.700721e-02    5.057439e-05    2.196215e-02    4.175037e-05    0.006047        
58.00   6.588182e-02    4.909569e-05    2.196219e-02    4.195838e-05    0.005908        
60.00   6.478648e-02    4.766405e-05    2.194355e-02    4.213981e-05    0.005821        
62.00   6.372340e-02    4.630569e-05    2.190948e-02    4.225270e-05    0.00568         
64.00   6.267852e-02    4.497182e-05    2.185771e-02    4.229437e-05    0.005542        
66.00   6.166246e-02    4.365241e-05    2.179349e-02    4.232258e-05    0.005455        
68.00   6.067461e-02    4.234912e-05    2.172028e-02    4.236136e-05    0.005299        
70.00   5.970887e-02    4.112468e-05    2.163201e-02    4.227429e-05    0.005223        
72.00   5.876768e-02    3.989488e-05    2.153311e-02    4.218236e-05    0.005159        
74.00   5.784546e-02    3.873367e-05    2.142721e-02    4.207498e-05    0.005039        
76.00   5.693612e-02    3.761377e-05    2.130765e-02    4.195989e-05    0.004874        
78.00   5.606581e-02    3.650822e-05    2.118985e-02    4.183212e-05    0.004762        
80.00   5.520038e-02    3.543551e-05    2.105615e-02    4.164124e-05    0.004661        
82.00   5.436676e-02    3.437748e-05    2.092492e-02    4.142746e-05    0.004541        
84.00   5.355245e-02    3.334421e-05    2.078826e-02    4.120698e-05    0.004408        
86.00   5.274737e-02    3.240858e-05    2.063929e-02    4.093374e-05    0.004354        
88.00   5.194756e-02    3.147514e-05    2.048489e-02    4.071715e-05    0.004177        
90.00   5.119599e-02    3.061123e-05    2.034183e-02    4.042996e-05    0.004196        
92.00   5.045031e-02    2.970226e-05    2.018812e-02    4.017266e-05    0.004003        
94.00   4.970356e-02    2.880922e-05    2.002317e-02    3.980399e-05    0.003908        
96.00   4.897495e-02    2.801343e-05    1.985621e-02    3.950948e-05    0.003788        
98.00   4.827446e-02    2.722044e-05    1.969912e-02    3.917401e-05    0.003555        
100.00  4.758168e-02    2.645620e-05    1.953616e-02    3.882419e-05    0.00359         
