# Elastic Scattering results summary.

Temperature 0.2000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.652619e-01    8.540853e-05    9.659894e-05    -2.150269e-07   0.01194         
2.01    1.628873e-01    8.514339e-05    4.762324e-03    2.064363e-06    0.01176         
4.01    1.594045e-01    8.473782e-05    9.071456e-03    4.853140e-06    0.01154         
6.01    1.556840e-01    8.439142e-05    1.296174e-02    7.562975e-06    0.01138         
8.01    1.519024e-01    8.379785e-05    1.648363e-02    1.001084e-05    0.01114         
10.01   1.480427e-01    8.327437e-05    1.958809e-02    1.257201e-05    0.01098         
12.01   1.440950e-01    8.257351e-05    2.226918e-02    1.500152e-05    0.01076         
14.01   1.401472e-01    8.173747e-05    2.456150e-02    1.727260e-05    0.0106          
16.01   1.362983e-01    8.074720e-05    2.651772e-02    1.944661e-05    0.01035         
18.01   1.324985e-01    7.963514e-05    2.817029e-02    2.156257e-05    0.0101          
20.01   1.288019e-01    7.842100e-05    2.952151e-02    2.359525e-05    0.009957        
22.01   1.252171e-01    7.714404e-05    3.063715e-02    2.547270e-05    0.009809        
24.01   1.217459e-01    7.570383e-05    3.153443e-02    2.717742e-05    0.009624        
26.01   1.183996e-01    7.433860e-05    3.224343e-02    2.885601e-05    0.009427        
28.01   1.151751e-01    7.289605e-05    3.278328e-02    3.042082e-05    0.009235        
30.01   1.120699e-01    7.138590e-05    3.318103e-02    3.187398e-05    0.009031        
32.01   1.090797e-01    6.983956e-05    3.344914e-02    3.319648e-05    0.008844        
34.01   1.062078e-01    6.817150e-05    3.361422e-02    3.434840e-05    0.008662        
36.01   1.034717e-01    6.652384e-05    3.370275e-02    3.547841e-05    0.008456        
38.01   1.008429e-01    6.479764e-05    3.371483e-02    3.652238e-05    0.008284        
40.01   9.833125e-02    6.318997e-05    3.366707e-02    3.737816e-05    0.008096        
42.01   9.591735e-02    6.157055e-05    3.356346e-02    3.818036e-05    0.007925        
44.01   9.361339e-02    5.986332e-05    3.342306e-02    3.900064e-05    0.007755        
46.01   9.139911e-02    5.825024e-05    3.324330e-02    3.967885e-05    0.00758         
48.01   8.927683e-02    5.668536e-05    3.303103e-02    4.021071e-05    0.00743         
50.00   8.724574e-02    5.515077e-05    3.279685e-02    4.064733e-05    0.007295        
52.00   8.528799e-02    5.353798e-05    3.253626e-02    4.105375e-05    0.007143        
54.00   8.341287e-02    5.205414e-05    3.226184e-02    4.142678e-05    0.006978        
56.00   8.160860e-02    5.057439e-05    3.196990e-02    4.175037e-05    0.006842        
58.00   7.986825e-02    4.909569e-05    3.166683e-02    4.195838e-05    0.006664        
60.00   7.819340e-02    4.766405e-05    3.135331e-02    4.213981e-05    0.006544        
62.00   7.658541e-02    4.630569e-05    3.103463e-02    4.225270e-05    0.006367        
64.00   7.502297e-02    4.497182e-05    3.070538e-02    4.229437e-05    0.006197        
66.00   7.352021e-02    4.365241e-05    3.037356e-02    4.232258e-05    0.006086        
68.00   7.207208e-02    4.234912e-05    3.004316e-02    4.236136e-05    0.0059          
70.00   7.067013e-02    4.112468e-05    2.970419e-02    4.227429e-05    0.005801        
72.00   6.931557e-02    3.989488e-05    2.936280e-02    4.218236e-05    0.005715        
74.00   6.800167e-02    3.873367e-05    2.902391e-02    4.207498e-05    0.005575        
76.00   6.671781e-02    3.761377e-05    2.867736e-02    4.195989e-05    0.005383        
78.00   6.549643e-02    3.650822e-05    2.834365e-02    4.183212e-05    0.005255        
80.00   6.429366e-02    3.543551e-05    2.799842e-02    4.164124e-05    0.005136        
82.00   6.314180e-02    3.437748e-05    2.766621e-02    4.142746e-05    0.004994        
84.00   6.202468e-02    3.334421e-05    2.733527e-02    4.120698e-05    0.004847        
86.00   6.092917e-02    3.240858e-05    2.699617e-02    4.093374e-05    0.00478         
88.00   5.985018e-02    3.147514e-05    2.665801e-02    4.071715e-05    0.004584        
90.00   5.883797e-02    3.061123e-05    2.634272e-02    4.042996e-05    0.004589        
92.00   5.784171e-02    2.970226e-05    2.602013e-02    4.017266e-05    0.004384        
94.00   5.685318e-02    2.880922e-05    2.568953e-02    3.980399e-05    0.004277        
96.00   5.589359e-02    2.801343e-05    2.536339e-02    3.950948e-05    0.004142        
98.00   5.497422e-02    2.722044e-05    2.505526e-02    3.917401e-05    0.003896        
100.00  5.407068e-02    2.645620e-05    2.474548e-02    3.882419e-05    0.003922        
