# Elastic Scattering results summary.

Temperature 1.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.583339e-01    8.540853e-05    9.716985e-05    -2.150269e-07   0.01165         
2.01    1.561928e-01    8.514339e-05    4.387650e-03    2.064363e-06    0.01147         
4.01    1.530114e-01    8.473782e-05    8.364363e-03    4.853140e-06    0.01128         
6.01    1.496203e-01    8.439142e-05    1.197222e-02    7.562975e-06    0.01113         
8.01    1.461636e-01    8.379785e-05    1.525682e-02    1.001084e-05    0.0109          
10.01   1.426305e-01    8.327437e-05    1.817461e-02    1.257201e-05    0.01075         
12.01   1.390143e-01    8.257351e-05    2.071828e-02    1.500152e-05    0.01054         
14.01   1.353885e-01    8.173747e-05    2.291567e-02    1.727260e-05    0.01039         
16.01   1.318393e-01    8.074720e-05    2.480974e-02    1.944661e-05    0.01015         
18.01   1.283262e-01    7.963514e-05    2.642701e-02    2.156257e-05    0.009926        
20.01   1.248973e-01    7.842100e-05    2.776850e-02    2.359525e-05    0.009782        
22.01   1.215611e-01    7.714404e-05    2.889103e-02    2.547270e-05    0.009638        
24.01   1.183210e-01    7.570383e-05    2.980846e-02    2.717742e-05    0.009461        
26.01   1.151890e-01    7.433860e-05    3.054801e-02    2.885601e-05    0.009273        
28.01   1.121630e-01    7.289605e-05    3.112633e-02    3.042082e-05    0.009088        
30.01   1.092415e-01    7.138590e-05    3.156768e-02    3.187398e-05    0.008892        
32.01   1.064219e-01    6.983956e-05    3.188371e-02    3.319648e-05    0.008713        
34.01   1.037076e-01    6.817150e-05    3.209863e-02    3.434840e-05    0.008537        
36.01   1.011156e-01    6.652384e-05    3.223705e-02    3.547841e-05    0.008339        
38.01   9.862041e-02    6.479764e-05    3.229945e-02    3.652238e-05    0.008173        
40.01   9.623168e-02    6.318997e-05    3.230128e-02    3.737816e-05    0.007991        
42.01   9.393182e-02    6.157055e-05    3.224665e-02    3.818036e-05    0.007826        
44.01   9.173311e-02    5.986332e-05    3.215363e-02    3.900064e-05    0.007661        
46.01   8.961659e-02    5.825024e-05    3.202003e-02    3.967885e-05    0.00749         
48.01   8.758501e-02    5.668536e-05    3.185248e-02    4.021071e-05    0.007344        
50.00   8.563792e-02    5.515077e-05    3.166120e-02    4.064733e-05    0.007213        
52.00   8.375862e-02    5.353798e-05    3.144211e-02    4.105375e-05    0.007065        
54.00   8.195644e-02    5.205414e-05    3.120740e-02    4.142678e-05    0.006904        
56.00   8.022038e-02    5.057439e-05    3.095369e-02    4.175037e-05    0.006771        
58.00   7.854376e-02    4.909569e-05    3.068717e-02    4.195838e-05    0.006597        
60.00   7.692858e-02    4.766405e-05    3.040872e-02    4.213981e-05    0.00648         
62.00   7.537635e-02    4.630569e-05    3.012345e-02    4.225270e-05    0.006306        
64.00   7.386655e-02    4.497182e-05    2.982637e-02    4.229437e-05    0.006139        
66.00   7.241300e-02    4.365241e-05    2.952523e-02    4.232258e-05    0.006031        
68.00   7.101118e-02    4.234912e-05    2.922403e-02    4.236136e-05    0.005847        
70.00   6.965289e-02    4.112468e-05    2.891322e-02    4.227429e-05    0.00575         
72.00   6.833949e-02    3.989488e-05    2.859880e-02    4.218236e-05    0.005667        
74.00   6.706440e-02    3.873367e-05    2.828561e-02    4.207498e-05    0.005529        
76.00   6.581749e-02    3.761377e-05    2.796387e-02    4.195989e-05    0.005339        
78.00   6.463060e-02    3.650822e-05    2.765360e-02    4.183212e-05    0.005212        
80.00   6.346083e-02    3.543551e-05    2.733114e-02    4.164124e-05    0.005095        
82.00   6.233998e-02    3.437748e-05    2.702043e-02    4.142746e-05    0.004955        
84.00   6.125225e-02    3.334421e-05    2.671014e-02    4.120698e-05    0.004809        
86.00   6.018482e-02    3.240858e-05    2.639110e-02    4.093374e-05    0.004743        
88.00   5.913273e-02    3.147514e-05    2.607219e-02    4.071715e-05    0.004549        
90.00   5.814557e-02    3.061123e-05    2.577489e-02    4.042996e-05    0.004555        
92.00   5.717329e-02    2.970226e-05    2.546981e-02    4.017266e-05    0.004351        
94.00   5.620782e-02    2.880922e-05    2.515629e-02    3.980399e-05    0.004245        
96.00   5.527020e-02    2.801343e-05    2.484647e-02    3.950948e-05    0.004112        
98.00   5.437160e-02    2.722044e-05    2.455377e-02    3.917401e-05    0.003867        
100.00  5.348798e-02    2.645620e-05    2.425892e-02    3.882419e-05    0.003894        
