# Elastic Scattering results summary.

Temperature 50.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    4.454189e-02    8.540853e-05    1.281671e-05    -2.150269e-07   0.004779        
2.01    4.449834e-02    8.514339e-05    3.617365e-04    2.064363e-06    0.004773        
4.01    4.430828e-02    8.473782e-05    7.033396e-04    4.853140e-06    0.004746        
6.01    4.407890e-02    8.439142e-05    1.036910e-03    7.562975e-06    0.004728        
8.01    4.383919e-02    8.379785e-05    1.363533e-03    1.001084e-05    0.004703        
10.01   4.359290e-02    8.327437e-05    1.682405e-03    1.257201e-05    0.004679        
12.01   4.334204e-02    8.257351e-05    1.993689e-03    1.500152e-05    0.004656        
14.01   4.308697e-02    8.173747e-05    2.297272e-03    1.727260e-05    0.004636        
16.01   4.282834e-02    8.074720e-05    2.593388e-03    1.944661e-05    0.004612        
18.01   4.256621e-02    7.963514e-05    2.881636e-03    2.156257e-05    0.004589        
20.01   4.230089e-02    7.842100e-05    3.161872e-03    2.359525e-05    0.004564        
22.01   4.203242e-02    7.714404e-05    3.434533e-03    2.547270e-05    0.004539        
24.01   4.176093e-02    7.570383e-05    3.699007e-03    2.717742e-05    0.004513        
26.01   4.148769e-02    7.433860e-05    3.955955e-03    2.885601e-05    0.004486        
28.01   4.121224e-02    7.289605e-05    4.204862e-03    3.042082e-05    0.004457        
30.01   4.093484e-02    7.138590e-05    4.446114e-03    3.187398e-05    0.004427        
32.01   4.065609e-02    6.983956e-05    4.679527e-03    3.319648e-05    0.0044          
34.01   4.037510e-02    6.817150e-05    4.904973e-03    3.434840e-05    0.004371        
36.01   4.009327e-02    6.652384e-05    5.122882e-03    3.547841e-05    0.00434         
38.01   3.981062e-02    6.479764e-05    5.333179e-03    3.652238e-05    0.004308        
40.01   3.952700e-02    6.318997e-05    5.535519e-03    3.737816e-05    0.004275        
42.01   3.924169e-02    6.157055e-05    5.730201e-03    3.818036e-05    0.004243        
44.01   3.895745e-02    5.986332e-05    5.917850e-03    3.900064e-05    0.00421         
46.01   3.867142e-02    5.825024e-05    6.098127e-03    3.967885e-05    0.004165        
48.01   3.838563e-02    5.668536e-05    6.271045e-03    4.021071e-05    0.004132        
50.00   3.809994e-02    5.515077e-05    6.436734e-03    4.064733e-05    0.004101        
52.00   3.781242e-02    5.353798e-05    6.594810e-03    4.105375e-05    0.004062        
54.00   3.752657e-02    5.205414e-05    6.746398e-03    4.142678e-05    0.004014        
56.00   3.724117e-02    5.057439e-05    6.890843e-03    4.175037e-05    0.003984        
58.00   3.695312e-02    4.909569e-05    7.028599e-03    4.195838e-05    0.003917        
60.00   3.666593e-02    4.766405e-05    7.159651e-03    4.213981e-05    0.003892        
62.00   3.638078e-02    4.630569e-05    7.284046e-03    4.225270e-05    0.003823        
64.00   3.609243e-02    4.497182e-05    7.401642e-03    4.229437e-05    0.00375         
66.00   3.580421e-02    4.365241e-05    7.513153e-03    4.232258e-05    0.003712        
68.00   3.551863e-02    4.234912e-05    7.619308e-03    4.236136e-05    0.003621        
70.00   3.523242e-02    4.112468e-05    7.718805e-03    4.227429e-05    0.003595        
72.00   3.494763e-02    3.989488e-05    7.812230e-03    4.218236e-05    0.003575        
74.00   3.466028e-02    3.873367e-05    7.900455e-03    4.207498e-05    0.0035          
76.00   3.436956e-02    3.761377e-05    7.980933e-03    4.195989e-05    0.003398        
78.00   3.408842e-02    3.650822e-05    8.059717e-03    4.183212e-05    0.003324        
80.00   3.380000e-02    3.543551e-05    8.129377e-03    4.164124e-05    0.003265        
82.00   3.351879e-02    3.437748e-05    8.196964e-03    4.142746e-05    0.003196        
84.00   3.323870e-02    3.334421e-05    8.259888e-03    4.120698e-05    0.0031          
86.00   3.295453e-02    3.240858e-05    8.315101e-03    4.093374e-05    0.003076        
88.00   3.266417e-02    3.147514e-05    8.365040e-03    4.071715e-05    0.002948        
90.00   3.239260e-02    3.061123e-05    8.416054e-03    4.042996e-05    0.002997        
92.00   3.211596e-02    2.970226e-05    8.460169e-03    4.017266e-05    0.002838        
94.00   3.182961e-02    2.880922e-05    8.496938e-03    3.980399e-05    0.002774        
96.00   3.154628e-02    2.801343e-05    8.528948e-03    3.950948e-05    0.002694        
98.00   3.127212e-02    2.722044e-05    8.563046e-03    3.917401e-05    0.002496        
100.00  3.099553e-02    2.645620e-05    8.591319e-03    3.882419e-05    0.002557        
