# Elastic Scattering results summary.

Temperature 0.1000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.661710e-01    8.540853e-05    9.646226e-05    -2.150269e-07   0.01198         
2.01    1.637649e-01    8.514339e-05    4.812530e-03    2.064363e-06    0.0118          
4.01    1.602414e-01    8.473782e-05    9.166108e-03    4.853140e-06    0.01158         
6.01    1.564765e-01    8.439142e-05    1.309398e-02    7.562975e-06    0.01142         
8.01    1.526511e-01    8.379785e-05    1.664722e-02    1.001084e-05    0.01117         
10.01   1.487475e-01    8.327437e-05    1.977610e-02    1.257201e-05    0.01101         
12.01   1.447554e-01    8.257351e-05    2.247488e-02    1.500152e-05    0.01078         
14.01   1.407645e-01    8.173747e-05    2.477916e-02    1.727260e-05    0.01063         
16.01   1.368757e-01    8.074720e-05    2.674296e-02    1.944661e-05    0.01037         
18.01   1.330379e-01    7.963514e-05    2.839957e-02    2.156257e-05    0.01013         
20.01   1.293059e-01    7.842100e-05    2.975147e-02    2.359525e-05    0.009979        
22.01   1.256883e-01    7.714404e-05    3.086566e-02    2.547270e-05    0.00983         
24.01   1.221868e-01    7.570383e-05    3.175980e-02    2.717742e-05    0.009645        
26.01   1.188123e-01    7.433860e-05    3.246435e-02    2.885601e-05    0.009447        
28.01   1.155618e-01    7.289605e-05    3.299877e-02    3.042082e-05    0.009253        
30.01   1.124327e-01    7.138590e-05    3.339048e-02    3.187398e-05    0.009048        
32.01   1.094201e-01    6.983956e-05    3.365204e-02    3.319648e-05    0.00886         
34.01   1.065278e-01    6.817150e-05    3.381035e-02    3.434840e-05    0.008677        
36.01   1.037730e-01    6.652384e-05    3.389215e-02    3.547841e-05    0.008471        
38.01   1.011268e-01    6.479764e-05    3.389750e-02    3.652238e-05    0.008298        
40.01   9.859927e-02    6.318997e-05    3.384312e-02    3.737816e-05    0.008109        
42.01   9.617063e-02    6.157055e-05    3.373300e-02    3.818036e-05    0.007938        
44.01   9.385307e-02    5.986332e-05    3.358632e-02    3.900064e-05    0.007767        
46.01   9.162618e-02    5.825024e-05    3.340048e-02    3.967885e-05    0.007591        
48.01   8.949222e-02    5.668536e-05    3.318232e-02    4.021071e-05    0.00744         
50.00   8.745032e-02    5.515077e-05    3.294250e-02    4.064733e-05    0.007305        
52.00   8.548248e-02    5.353798e-05    3.267647e-02    4.105375e-05    0.007153        
54.00   8.359799e-02    5.205414e-05    3.239686e-02    4.142678e-05    0.006987        
56.00   8.178497e-02    5.057439e-05    3.209994e-02    4.175037e-05    0.00685         
58.00   8.003645e-02    4.909569e-05    3.179210e-02    4.195838e-05    0.006673        
60.00   7.835395e-02    4.766405e-05    3.147402e-02    4.213981e-05    0.006552        
62.00   7.673882e-02    4.630569e-05    3.115100e-02    4.225270e-05    0.006374        
64.00   7.516964e-02    4.497182e-05    3.081758e-02    4.229437e-05    0.006204        
66.00   7.366058e-02    4.365241e-05    3.048178e-02    4.232258e-05    0.006093        
68.00   7.220654e-02    4.234912e-05    3.014760e-02    4.236136e-05    0.005906        
70.00   7.079902e-02    4.112468e-05    2.980500e-02    4.227429e-05    0.005807        
72.00   6.943920e-02    3.989488e-05    2.946012e-02    4.218236e-05    0.005721        
74.00   6.812035e-02    3.873367e-05    2.911791e-02    4.207498e-05    0.005581        
76.00   6.683177e-02    3.761377e-05    2.876817e-02    4.195989e-05    0.005389        
78.00   6.560600e-02    3.650822e-05    2.843144e-02    4.183212e-05    0.00526         
80.00   6.439903e-02    3.543551e-05    2.808327e-02    4.164124e-05    0.005141        
82.00   6.324322e-02    3.437748e-05    2.774830e-02    4.142746e-05    0.004999        
84.00   6.212235e-02    3.334421e-05    2.741471e-02    4.120698e-05    0.004852        
86.00   6.102327e-02    3.240858e-05    2.707303e-02    4.093374e-05    0.004785        
88.00   5.994086e-02    3.147514e-05    2.673240e-02    4.071715e-05    0.004588        
90.00   5.892547e-02    3.061123e-05    2.641480e-02    4.042996e-05    0.004594        
92.00   5.792616e-02    2.970226e-05    2.608996e-02    4.017266e-05    0.004388        
94.00   5.693470e-02    2.880922e-05    2.575719e-02    3.980399e-05    0.004281        
96.00   5.597232e-02    2.801343e-05    2.542896e-02    3.950948e-05    0.004146        
98.00   5.505032e-02    2.722044e-05    2.511884e-02    3.917401e-05    0.0039          
100.00  5.414424e-02    2.645620e-05    2.480716e-02    3.882419e-05    0.003926        
