# Elastic Scattering results summary.

Temperature 2.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.504531e-01    8.540853e-05    9.678033e-05    -2.150269e-07   0.01129         
2.01    1.485632e-01    8.514339e-05    3.978617e-03    2.064363e-06    0.01114         
4.01    1.457070e-01    8.473782e-05    7.591037e-03    4.853140e-06    0.01096         
6.01    1.426699e-01    8.439142e-05    1.088654e-02    7.562975e-06    0.01082         
8.01    1.395650e-01    8.379785e-05    1.390551e-02    1.001084e-05    0.01061         
10.01   1.363869e-01    8.327437e-05    1.661024e-02    1.257201e-05    0.01047         
12.01   1.331314e-01    8.257351e-05    1.899269e-02    1.500152e-05    0.01028         
14.01   1.298587e-01    8.173747e-05    2.107432e-02    1.727260e-05    0.01013         
16.01   1.266406e-01    8.074720e-05    2.288858e-02    1.944661e-05    0.009918        
18.01   1.234457e-01    7.963514e-05    2.445607e-02    2.156257e-05    0.009709        
20.01   1.203160e-01    7.842100e-05    2.577666e-02    2.359525e-05    0.009571        
22.01   1.172593e-01    7.714404e-05    2.689774e-02    2.547270e-05    0.009432        
24.01   1.142803e-01    7.570383e-05    2.782964e-02    2.717742e-05    0.009265        
26.01   1.113917e-01    7.433860e-05    2.859634e-02    2.885601e-05    0.009086        
28.01   1.085921e-01    7.289605e-05    2.921175e-02    3.042082e-05    0.008911        
30.01   1.058808e-01    7.138590e-05    2.969698e-02    3.187398e-05    0.008725        
32.01   1.032575e-01    6.983956e-05    3.006265e-02    3.319648e-05    0.008554        
34.01   1.007250e-01    6.817150e-05    3.033024e-02    3.434840e-05    0.008386        
36.01   9.830000e-02    6.652384e-05    3.052211e-02    3.547841e-05    0.008197        
38.01   9.596001e-02    6.479764e-05    3.063907e-02    3.652238e-05    0.008038        
40.01   9.371450e-02    6.318997e-05    3.069523e-02    3.737816e-05    0.007863        
42.01   9.154789e-02    6.157055e-05    3.069471e-02    3.818036e-05    0.007705        
44.01   8.947247e-02    5.986332e-05    3.065439e-02    3.900064e-05    0.007546        
46.01   8.747076e-02    5.825024e-05    3.057248e-02    3.967885e-05    0.007381        
48.01   8.554591e-02    5.668536e-05    3.045528e-02    4.021071e-05    0.00724         
50.00   8.369788e-02    5.515077e-05    3.031255e-02    4.064733e-05    0.007112        
52.00   8.191127e-02    5.353798e-05    3.014065e-02    4.105375e-05    0.00697         
54.00   8.019545e-02    5.205414e-05    2.995126e-02    4.142678e-05    0.006813        
56.00   7.854025e-02    5.057439e-05    2.974133e-02    4.175037e-05    0.006684        
58.00   7.693933e-02    4.909569e-05    2.951684e-02    4.195838e-05    0.006515        
60.00   7.539513e-02    4.766405e-05    2.927884e-02    4.213981e-05    0.006402        
62.00   7.390933e-02    4.630569e-05    2.903223e-02    4.225270e-05    0.006232        
64.00   7.246232e-02    4.497182e-05    2.877247e-02    4.229437e-05    0.006069        
66.00   7.106756e-02    4.365241e-05    2.850700e-02    4.232258e-05    0.005963        
68.00   6.972110e-02    4.234912e-05    2.823983e-02    4.236136e-05    0.005782        
70.00   6.841507e-02    4.112468e-05    2.796190e-02    4.227429e-05    0.005688        
72.00   6.715102e-02    3.989488e-05    2.767906e-02    4.218236e-05    0.005607        
74.00   6.592250e-02    3.873367e-05    2.739602e-02    4.207498e-05    0.005471        
76.00   6.471996e-02    3.761377e-05    2.710343e-02    4.195989e-05    0.005284        
78.00   6.357454e-02    3.650822e-05    2.682076e-02    4.183212e-05    0.005159        
80.00   6.244447e-02    3.543551e-05    2.652514e-02    4.164124e-05    0.005044        
82.00   6.136097e-02    3.437748e-05    2.623983e-02    4.142746e-05    0.004906        
84.00   6.030868e-02    3.334421e-05    2.595395e-02    4.120698e-05    0.004762        
86.00   5.927513e-02    3.240858e-05    2.565866e-02    4.093374e-05    0.004698        
88.00   5.825551e-02    3.147514e-05    2.536260e-02    4.071715e-05    0.004506        
90.00   5.729860e-02    3.061123e-05    2.508665e-02    4.042996e-05    0.004514        
92.00   5.635533e-02    2.970226e-05    2.480240e-02    4.017266e-05    0.00431         
94.00   5.541777e-02    2.880922e-05    2.450919e-02    3.980399e-05    0.004206        
96.00   5.450674e-02    2.801343e-05    2.421882e-02    3.950948e-05    0.004074        
98.00   5.363329e-02    2.722044e-05    2.394453e-02    3.917401e-05    0.003831        
100.00  5.277384e-02    2.645620e-05    2.366751e-02    3.882419e-05    0.003858        
