# Elastic Scattering results summary.

Temperature 0.2000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.408264e-02    7.196527e-06    -1.769027e-06   9.662435e-10    0.005399        
2.01    1.408139e-02    7.195569e-06    4.123057e-05    2.356570e-08    0.005411        
4.01    1.407666e-02    7.196070e-06    8.405852e-05    4.352119e-08    0.005409        
6.01    1.406046e-02    7.195573e-06    1.260568e-04    6.421674e-08    0.0054          
8.01    1.403755e-02    7.194187e-06    1.679545e-04    8.583261e-08    0.005385        
10.01   1.401207e-02    7.193855e-06    2.091350e-04    1.075837e-07    0.005364        
12.01   1.398507e-02    7.194005e-06    2.501542e-04    1.300651e-07    0.005356        
14.01   1.395701e-02    7.192946e-06    2.907905e-04    1.517847e-07    0.005337        
16.01   1.392885e-02    7.191939e-06    3.312005e-04    1.729069e-07    0.005327        
18.01   1.390040e-02    7.190832e-06    3.712569e-04    1.948549e-07    0.00532         
20.01   1.387133e-02    7.189761e-06    4.109447e-04    2.151465e-07    0.005304        
22.01   1.384151e-02    7.189074e-06    4.504317e-04    2.370919e-07    0.005291        
24.01   1.381188e-02    7.187152e-06    4.892054e-04    2.585733e-07    0.005278        
26.01   1.378148e-02    7.185023e-06    5.276680e-04    2.794296e-07    0.005263        
28.01   1.375117e-02    7.183331e-06    5.659539e-04    3.013004e-07    0.005242        
30.01   1.372055e-02    7.181262e-06    6.040175e-04    3.224630e-07    0.00523         
32.01   1.368906e-02    7.180826e-06    6.414484e-04    3.457709e-07    0.00521         
34.01   1.365869e-02    7.179847e-06    6.785283e-04    3.670543e-07    0.005199        
36.01   1.362753e-02    7.178441e-06    7.154295e-04    3.905234e-07    0.005178        
38.01   1.359629e-02    7.175461e-06    7.517132e-04    4.116843e-07    0.005169        
40.01   1.356467e-02    7.174710e-06    7.875904e-04    4.343114e-07    0.005166        
42.01   1.353333e-02    7.171065e-06    8.234181e-04    4.555295e-07    0.00515         
44.01   1.350154e-02    7.168955e-06    8.588270e-04    4.769574e-07    0.005129        
46.01   1.346932e-02    7.166695e-06    8.937496e-04    4.988953e-07    0.005115        
48.01   1.343693e-02    7.164172e-06    9.283349e-04    5.220581e-07    0.005104        
50.00   1.340491e-02    7.160559e-06    9.627568e-04    5.434030e-07    0.005076        
52.00   1.337245e-02    7.157568e-06    9.967733e-04    5.658297e-07    0.005051        
54.00   1.333961e-02    7.153626e-06    1.030081e-03    5.870551e-07    0.00504         
56.00   1.330695e-02    7.150466e-06    1.063346e-03    6.093988e-07    0.005021        
58.00   1.327426e-02    7.147988e-06    1.095887e-03    6.312807e-07    0.005001        
60.00   1.324096e-02    7.143196e-06    1.128278e-03    6.530324e-07    0.004979        
62.00   1.320777e-02    7.138666e-06    1.160277e-03    6.736960e-07    0.004964        
64.00   1.317481e-02    7.134942e-06    1.192064e-03    6.954380e-07    0.004945        
66.00   1.314159e-02    7.131125e-06    1.223174e-03    7.173523e-07    0.004922        
68.00   1.310792e-02    7.126282e-06    1.254072e-03    7.378874e-07    0.004905        
70.00   1.307475e-02    7.122352e-06    1.284827e-03    7.586653e-07    0.004883        
72.00   1.304111e-02    7.118713e-06    1.315083e-03    7.803370e-07    0.004868        
74.00   1.300735e-02    7.113725e-06    1.344855e-03    8.016181e-07    0.00485         
76.00   1.297305e-02    7.107290e-06    1.374202e-03    8.209512e-07    0.004825        
78.00   1.293934e-02    7.102895e-06    1.403154e-03    8.426918e-07    0.004806        
80.00   1.290566e-02    7.097980e-06    1.432109e-03    8.645278e-07    0.004789        
82.00   1.287117e-02    7.092270e-06    1.460387e-03    8.854052e-07    0.00477         
84.00   1.283724e-02    7.085770e-06    1.488397e-03    9.055115e-07    0.004757        
86.00   1.280348e-02    7.080899e-06    1.516198e-03    9.265021e-07    0.004739        
88.00   1.276909e-02    7.075796e-06    1.543190e-03    9.477115e-07    0.004727        
90.00   1.273480e-02    7.070478e-06    1.570207e-03    9.688796e-07    0.004713        
92.00   1.270047e-02    7.063715e-06    1.596616e-03    9.895205e-07    0.004702        
94.00   1.266638e-02    7.058444e-06    1.622660e-03    1.010635e-06    0.004678        
96.00   1.263182e-02    7.053639e-06    1.648404e-03    1.032084e-06    0.004654        
98.00   1.259740e-02    7.047192e-06    1.673837e-03    1.051950e-06    0.004643        
100.00  1.256300e-02    7.042605e-06    1.699147e-03    1.073791e-06    0.004631        
