# Elastic Scattering results summary.

Temperature 2.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.394095e-02    7.196527e-06    -1.293620e-06   9.662435e-10    0.005357        
2.01    1.393989e-02    7.195569e-06    4.046060e-05    2.356570e-08    0.005369        
4.01    1.393539e-02    7.196070e-06    8.244349e-05    4.352119e-08    0.005368        
6.01    1.391975e-02    7.195573e-06    1.236148e-04    6.421674e-08    0.005358        
8.01    1.389746e-02    7.194187e-06    1.646813e-04    8.583261e-08    0.005344        
10.01   1.387259e-02    7.193855e-06    2.050515e-04    1.075837e-07    0.005324        
12.01   1.384620e-02    7.194005e-06    2.452620e-04    1.300651e-07    0.005315        
14.01   1.381875e-02    7.192946e-06    2.851047e-04    1.517847e-07    0.005297        
16.01   1.379118e-02    7.191939e-06    3.247228e-04    1.729069e-07    0.005287        
18.01   1.376333e-02    7.190832e-06    3.640045e-04    1.948549e-07    0.00528         
20.01   1.373486e-02    7.189761e-06    4.029295e-04    2.151465e-07    0.005264        
22.01   1.370567e-02    7.189074e-06    4.416573e-04    2.370919e-07    0.005252        
24.01   1.367665e-02    7.187152e-06    4.796963e-04    2.585733e-07    0.005239        
26.01   1.364688e-02    7.185023e-06    5.174324e-04    2.794296e-07    0.005224        
28.01   1.361721e-02    7.183331e-06    5.549951e-04    3.013004e-07    0.005203        
30.01   1.358723e-02    7.181262e-06    5.923413e-04    3.224630e-07    0.005192        
32.01   1.355641e-02    7.180826e-06    6.290788e-04    3.457709e-07    0.005172        
34.01   1.352665e-02    7.179847e-06    6.654746e-04    3.670543e-07    0.005161        
36.01   1.349616e-02    7.178441e-06    7.016979e-04    3.905234e-07    0.005141        
38.01   1.346557e-02    7.175461e-06    7.373239e-04    4.116843e-07    0.005132        
40.01   1.343461e-02    7.174710e-06    7.725567e-04    4.343114e-07    0.005128        
42.01   1.340392e-02    7.171065e-06    8.077354e-04    4.555295e-07    0.005113        
44.01   1.337280e-02    7.168955e-06    8.425079e-04    4.769574e-07    0.005092        
46.01   1.334127e-02    7.166695e-06    8.768106e-04    4.988953e-07    0.005079        
48.01   1.330956e-02    7.164172e-06    9.107865e-04    5.220581e-07    0.005068        
50.00   1.327821e-02    7.160559e-06    9.446041e-04    5.434030e-07    0.005041        
52.00   1.324644e-02    7.157568e-06    9.780274e-04    5.658297e-07    0.005017        
54.00   1.321430e-02    7.153626e-06    1.010767e-03    5.870551e-07    0.005005        
56.00   1.318232e-02    7.150466e-06    1.043461e-03    6.093988e-07    0.004987        
58.00   1.315031e-02    7.147988e-06    1.075458e-03    6.312807e-07    0.004968        
60.00   1.311772e-02    7.143196e-06    1.107307e-03    6.530324e-07    0.004946        
62.00   1.308524e-02    7.138666e-06    1.138775e-03    6.736960e-07    0.004931        
64.00   1.305295e-02    7.134942e-06    1.170036e-03    6.954380e-07    0.004913        
66.00   1.302044e-02    7.131125e-06    1.200647e-03    7.173523e-07    0.004891        
68.00   1.298749e-02    7.126282e-06    1.231046e-03    7.378874e-07    0.004874        
70.00   1.295501e-02    7.122352e-06    1.261305e-03    7.586653e-07    0.004852        
72.00   1.292207e-02    7.118713e-06    1.291083e-03    7.803370e-07    0.004837        
74.00   1.288902e-02    7.113725e-06    1.320389e-03    8.016181e-07    0.00482         
76.00   1.285546e-02    7.107290e-06    1.349289e-03    8.209512e-07    0.004796        
78.00   1.282245e-02    7.102895e-06    1.377804e-03    8.426918e-07    0.004777        
80.00   1.278947e-02    7.097980e-06    1.406317e-03    8.645278e-07    0.004761        
82.00   1.275570e-02    7.092270e-06    1.434175e-03    8.854052e-07    0.004742        
84.00   1.272248e-02    7.085770e-06    1.461776e-03    9.055115e-07    0.004729        
86.00   1.268941e-02    7.080899e-06    1.489167e-03    9.265021e-07    0.004712        
88.00   1.265574e-02    7.075796e-06    1.515784e-03    9.477115e-07    0.0047          
90.00   1.262217e-02    7.070478e-06    1.542421e-03    9.688796e-07    0.004686        
92.00   1.258854e-02    7.063715e-06    1.568460e-03    9.895205e-07    0.004675        
94.00   1.255515e-02    7.058444e-06    1.594149e-03    1.010635e-06    0.004652        
96.00   1.252130e-02    7.053639e-06    1.619547e-03    1.032084e-06    0.004629        
98.00   1.248758e-02    7.047192e-06    1.644643e-03    1.051950e-06    0.004618        
100.00  1.245389e-02    7.042605e-06    1.669617e-03    1.073791e-06    0.004606        
