# Elastic Scattering results summary.

Temperature 200.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    6.624756e-03    7.196527e-06    3.321163e-07    9.662435e-10    0.00316         
2.01    6.624634e-03    7.195569e-06    9.771254e-06    2.356570e-08    0.003162        
4.01    6.624593e-03    7.196070e-06    1.921161e-05    4.352119e-08    0.003162        
6.01    6.624105e-03    7.195573e-06    2.863547e-05    6.421674e-08    0.003163        
8.01    6.622637e-03    7.194187e-06    3.801338e-05    8.583261e-08    0.00316         
10.01   6.620034e-03    7.193855e-06    4.735188e-05    1.075837e-07    0.003157        
12.01   6.616433e-03    7.194005e-06    5.663564e-05    1.300651e-07    0.003154        
14.01   6.612091e-03    7.192946e-06    6.589111e-05    1.517847e-07    0.00315         
16.01   6.607184e-03    7.191939e-06    7.509646e-05    1.729069e-07    0.003148        
18.01   6.601900e-03    7.190832e-06    8.427326e-05    1.948549e-07    0.003146        
20.01   6.596319e-03    7.189761e-06    9.343158e-05    2.151465e-07    0.003143        
22.01   6.590507e-03    7.189074e-06    1.025435e-04    2.370919e-07    0.00314         
24.01   6.584553e-03    7.187152e-06    1.116129e-04    2.585733e-07    0.003136        
26.01   6.578438e-03    7.185023e-06    1.206316e-04    2.794296e-07    0.003133        
28.01   6.572254e-03    7.183331e-06    1.296132e-04    3.013004e-07    0.003129        
30.01   6.565999e-03    7.181262e-06    1.385754e-04    3.224630e-07    0.003127        
32.01   6.559660e-03    7.180826e-06    1.475073e-04    3.457709e-07    0.003121        
34.01   6.553303e-03    7.179847e-06    1.563840e-04    3.670543e-07    0.003118        
36.01   6.546922e-03    7.178441e-06    1.652439e-04    3.905234e-07    0.003115        
38.01   6.540486e-03    7.175461e-06    1.740542e-04    4.116843e-07    0.003112        
40.01   6.534003e-03    7.174710e-06    1.828318e-04    4.343114e-07    0.00311         
42.01   6.527511e-03    7.171065e-06    1.915845e-04    4.555295e-07    0.003106        
44.01   6.520978e-03    7.168955e-06    2.002966e-04    4.769574e-07    0.003103        
46.01   6.514417e-03    7.166695e-06    2.089633e-04    4.988953e-07    0.003101        
48.01   6.507806e-03    7.164172e-06    2.175888e-04    5.220581e-07    0.003098        
50.00   6.501195e-03    7.160559e-06    2.262064e-04    5.434030e-07    0.003094        
52.00   6.494585e-03    7.157568e-06    2.347805e-04    5.658297e-07    0.003089        
54.00   6.487917e-03    7.153626e-06    2.432904e-04    5.870551e-07    0.003086        
56.00   6.481214e-03    7.150466e-06    2.517804e-04    6.093988e-07    0.003082        
58.00   6.474525e-03    7.147988e-06    2.602284e-04    6.312807e-07    0.003078        
60.00   6.467762e-03    7.143196e-06    2.686457e-04    6.530324e-07    0.003075        
62.00   6.461009e-03    7.138666e-06    2.770242e-04    6.736960e-07    0.003072        
64.00   6.454235e-03    7.134942e-06    2.853772e-04    6.954380e-07    0.003069        
66.00   6.447474e-03    7.131125e-06    2.936843e-04    7.173523e-07    0.003066        
68.00   6.440650e-03    7.126282e-06    3.019501e-04    7.378874e-07    0.003063        
70.00   6.433801e-03    7.122352e-06    3.101749e-04    7.586653e-07    0.003058        
72.00   6.426950e-03    7.118713e-06    3.183734e-04    7.803370e-07    0.003055        
74.00   6.420075e-03    7.113725e-06    3.265170e-04    8.016181e-07    0.003052        
76.00   6.413194e-03    7.107290e-06    3.346389e-04    8.209512e-07    0.003048        
78.00   6.406278e-03    7.102895e-06    3.427219e-04    8.426918e-07    0.003045        
80.00   6.399365e-03    7.097980e-06    3.507792e-04    8.645278e-07    0.003042        
82.00   6.392380e-03    7.092270e-06    3.587738e-04    8.854052e-07    0.003039        
84.00   6.385433e-03    7.085770e-06    3.667495e-04    9.055115e-07    0.003037        
86.00   6.378449e-03    7.080899e-06    3.746907e-04    9.265021e-07    0.003033        
88.00   6.371463e-03    7.075796e-06    3.825829e-04    9.477115e-07    0.00303         
90.00   6.364455e-03    7.070478e-06    3.904566e-04    9.688796e-07    0.003027        
92.00   6.357415e-03    7.063715e-06    3.982585e-04    9.895205e-07    0.003025        
94.00   6.350365e-03    7.058444e-06    4.060238e-04    1.010635e-06    0.003021        
96.00   6.343280e-03    7.053639e-06    4.137613e-04    1.032084e-06    0.003016        
98.00   6.336194e-03    7.047192e-06    4.214677e-04    1.051950e-06    0.003013        
100.00  6.329100e-03    7.042605e-06    4.291462e-04    1.073791e-06    0.00301         
