# Elastic Scattering results summary.

Temperature 10.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.334483e-02    7.196527e-06    -8.897883e-07   9.662435e-10    0.005182        
2.01    1.334397e-02    7.195569e-06    3.734894e-05    2.356570e-08    0.005193        
4.01    1.334038e-02    7.196070e-06    7.579085e-05    4.352119e-08    0.005191        
6.01    1.332698e-02    7.195573e-06    1.135749e-04    6.421674e-08    0.005184        
8.01    1.330724e-02    7.194187e-06    1.512235e-04    8.583261e-08    0.00517         
10.01   1.328487e-02    7.193855e-06    1.882691e-04    1.075837e-07    0.005152        
12.01   1.326096e-02    7.194005e-06    2.251621e-04    1.300651e-07    0.005143        
14.01   1.323602e-02    7.192946e-06    2.617469e-04    1.517847e-07    0.005126        
16.01   1.321088e-02    7.191939e-06    2.981166e-04    1.729069e-07    0.005118        
18.01   1.318546e-02    7.190832e-06    3.342098e-04    1.948549e-07    0.005111        
20.01   1.315947e-02    7.189761e-06    3.699972e-04    2.151465e-07    0.005096        
22.01   1.313283e-02    7.189074e-06    4.056020e-04    2.370919e-07    0.005085        
24.01   1.310633e-02    7.187152e-06    4.406163e-04    2.585733e-07    0.005073        
26.01   1.307916e-02    7.185023e-06    4.753582e-04    2.794296e-07    0.005059        
28.01   1.305206e-02    7.183331e-06    5.099409e-04    3.013004e-07    0.005041        
30.01   1.302472e-02    7.181262e-06    5.443312e-04    3.224630e-07    0.005029        
32.01   1.299662e-02    7.180826e-06    5.782079e-04    3.457709e-07    0.005011        
34.01   1.296940e-02    7.179847e-06    6.117789e-04    3.670543e-07    0.005           
36.01   1.294159e-02    7.178441e-06    6.452019e-04    3.905234e-07    0.004982        
38.01   1.291369e-02    7.175461e-06    6.781079e-04    4.116843e-07    0.004974        
40.01   1.288546e-02    7.174710e-06    7.106729e-04    4.343114e-07    0.00497         
42.01   1.285743e-02    7.171065e-06    7.431697e-04    4.555295e-07    0.004956        
44.01   1.282903e-02    7.168955e-06    7.753109e-04    4.769574e-07    0.004938        
46.01   1.280030e-02    7.166695e-06    8.070481e-04    4.988953e-07    0.004926        
48.01   1.277140e-02    7.164172e-06    8.384976e-04    5.220581e-07    0.004915        
50.00   1.274276e-02    7.160559e-06    8.698108e-04    5.434030e-07    0.004891        
52.00   1.271382e-02    7.157568e-06    9.007743e-04    5.658297e-07    0.00487         
54.00   1.268453e-02    7.153626e-06    9.311512e-04    5.870551e-07    0.004859        
56.00   1.265533e-02    7.150466e-06    9.614747e-04    6.093988e-07    0.004842        
58.00   1.262614e-02    7.147988e-06    9.912038e-04    6.312807e-07    0.004825        
60.00   1.259644e-02    7.143196e-06    1.020797e-03    6.530324e-07    0.004806        
62.00   1.256682e-02    7.138666e-06    1.050055e-03    6.736960e-07    0.004792        
64.00   1.253734e-02    7.134942e-06    1.079122e-03    6.954380e-07    0.004776        
66.00   1.250772e-02    7.131125e-06    1.107647e-03    7.173523e-07    0.004756        
68.00   1.247769e-02    7.126282e-06    1.135962e-03    7.378874e-07    0.004741        
70.00   1.244802e-02    7.122352e-06    1.164146e-03    7.586653e-07    0.004721        
72.00   1.241798e-02    7.118713e-06    1.191925e-03    7.803370e-07    0.004708        
74.00   1.238785e-02    7.113725e-06    1.219278e-03    8.016181e-07    0.004693        
76.00   1.235729e-02    7.107290e-06    1.246299e-03    8.209512e-07    0.004671        
78.00   1.232713e-02    7.102895e-06    1.272977e-03    8.426918e-07    0.004654        
80.00   1.229702e-02    7.097980e-06    1.299634e-03    8.645278e-07    0.00464         
82.00   1.226623e-02    7.092270e-06    1.325722e-03    8.854052e-07    0.004623        
84.00   1.223590e-02    7.085770e-06    1.351597e-03    9.055115e-07    0.004611        
86.00   1.220567e-02    7.080899e-06    1.377265e-03    9.265021e-07    0.004595        
88.00   1.217495e-02    7.075796e-06    1.402288e-03    9.477115e-07    0.004584        
90.00   1.214430e-02    7.070478e-06    1.427316e-03    9.688796e-07    0.004571        
92.00   1.211357e-02    7.063715e-06    1.451791e-03    9.895205e-07    0.004561        
94.00   1.208305e-02    7.058444e-06    1.475971e-03    1.010635e-06    0.00454         
96.00   1.205212e-02    7.053639e-06    1.499899e-03    1.032084e-06    0.004519        
98.00   1.202130e-02    7.047192e-06    1.523559e-03    1.051950e-06    0.004509        
100.00  1.199049e-02    7.042605e-06    1.547102e-03    1.073791e-06    0.004498        
