# Elastic Scattering results summary.

Temperature 5.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.371125e-02    7.196527e-06    -1.116524e-06   9.662435e-10    0.00529         
2.01    1.371028e-02    7.195569e-06    3.925176e-05    2.356570e-08    0.005301        
4.01    1.370615e-02    7.196070e-06    7.985150e-05    4.352119e-08    0.0053          
6.01    1.369139e-02    7.195573e-06    1.197008e-04    6.421674e-08    0.005291        
8.01    1.367010e-02    7.194187e-06    1.594331e-04    8.583261e-08    0.005277        
10.01   1.364621e-02    7.193855e-06    1.985055e-04    1.075837e-07    0.005257        
12.01   1.362078e-02    7.194005e-06    2.374208e-04    1.300651e-07    0.005249        
14.01   1.359431e-02    7.192946e-06    2.759924e-04    1.517847e-07    0.005231        
16.01   1.356769e-02    7.191939e-06    3.143423e-04    1.729069e-07    0.005222        
18.01   1.354079e-02    7.190832e-06    3.523811e-04    1.948549e-07    0.005215        
20.01   1.351329e-02    7.189761e-06    3.900827e-04    2.151465e-07    0.005199        
22.01   1.348509e-02    7.189074e-06    4.275928e-04    2.370919e-07    0.005188        
24.01   1.345705e-02    7.187152e-06    4.644532e-04    2.585733e-07    0.005175        
26.01   1.342831e-02    7.185023e-06    5.010231e-04    2.794296e-07    0.00516         
28.01   1.339964e-02    7.183331e-06    5.374248e-04    3.013004e-07    0.005141        
30.01   1.337069e-02    7.181262e-06    5.736195e-04    3.224630e-07    0.005129        
32.01   1.334093e-02    7.180826e-06    6.092432e-04    3.457709e-07    0.00511         
34.01   1.331217e-02    7.179847e-06    6.445399e-04    3.670543e-07    0.005099        
36.01   1.328272e-02    7.178441e-06    6.796737e-04    3.905234e-07    0.00508         
38.01   1.325319e-02    7.175461e-06    7.142421e-04    4.116843e-07    0.005071        
40.01   1.322330e-02    7.174710e-06    7.484380e-04    4.343114e-07    0.005067        
42.01   1.319364e-02    7.171065e-06    7.825734e-04    4.555295e-07    0.005052        
44.01   1.316359e-02    7.168955e-06    8.163227e-04    4.769574e-07    0.005033        
46.01   1.313315e-02    7.166695e-06    8.496283e-04    4.988953e-07    0.00502         
48.01   1.310254e-02    7.164172e-06    8.826229e-04    5.220581e-07    0.005009        
50.00   1.307225e-02    7.160559e-06    9.154676e-04    5.434030e-07    0.004983        
52.00   1.304159e-02    7.157568e-06    9.479358e-04    5.658297e-07    0.00496         
54.00   1.301056e-02    7.153626e-06    9.797591e-04    5.870551e-07    0.004949        
56.00   1.297967e-02    7.150466e-06    1.011534e-03    6.093988e-07    0.004931        
58.00   1.294876e-02    7.147988e-06    1.042651e-03    6.312807e-07    0.004913        
60.00   1.291730e-02    7.143196e-06    1.073626e-03    6.530324e-07    0.004892        
62.00   1.288594e-02    7.138666e-06    1.104238e-03    6.736960e-07    0.004877        
64.00   1.285475e-02    7.134942e-06    1.134649e-03    6.954380e-07    0.00486         
66.00   1.282337e-02    7.131125e-06    1.164453e-03    7.173523e-07    0.004839        
68.00   1.279156e-02    7.126282e-06    1.194046e-03    7.378874e-07    0.004823        
70.00   1.276018e-02    7.122352e-06    1.223502e-03    7.586653e-07    0.004802        
72.00   1.272837e-02    7.118713e-06    1.252508e-03    7.803370e-07    0.004788        
74.00   1.269646e-02    7.113725e-06    1.281059e-03    8.016181e-07    0.004772        
76.00   1.266408e-02    7.107290e-06    1.309234e-03    8.209512e-07    0.004748        
78.00   1.263218e-02    7.102895e-06    1.337041e-03    8.426918e-07    0.00473         
80.00   1.260032e-02    7.097980e-06    1.364837e-03    8.645278e-07    0.004714        
82.00   1.256772e-02    7.092270e-06    1.392013e-03    8.854052e-07    0.004697        
84.00   1.253562e-02    7.085770e-06    1.418950e-03    9.055115e-07    0.004684        
86.00   1.250366e-02    7.080899e-06    1.445677e-03    9.265021e-07    0.004667        
88.00   1.247114e-02    7.075796e-06    1.471681e-03    9.477115e-07    0.004655        
90.00   1.243872e-02    7.070478e-06    1.497700e-03    9.688796e-07    0.004642        
92.00   1.240622e-02    7.063715e-06    1.523138e-03    9.895205e-07    0.004632        
94.00   1.237395e-02    7.058444e-06    1.548248e-03    1.010635e-06    0.00461         
96.00   1.234124e-02    7.053639e-06    1.573082e-03    1.032084e-06    0.004587        
98.00   1.230865e-02    7.047192e-06    1.597628e-03    1.051950e-06    0.004576        
100.00  1.227608e-02    7.042605e-06    1.622053e-03    1.073791e-06    0.004564        
