# Elastic Scattering results summary.

Temperature 0.5000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.405876e-02    7.196527e-06    -1.505822e-06   9.662435e-10    0.005392        
2.01    1.405761e-02    7.195569e-06    4.109593e-05    2.356570e-08    0.005404        
4.01    1.405292e-02    7.196070e-06    8.378614e-05    4.352119e-08    0.005402        
6.01    1.403682e-02    7.195573e-06    1.256446e-04    6.421674e-08    0.005393        
8.01    1.401400e-02    7.194187e-06    1.674023e-04    8.583261e-08    0.005379        
10.01   1.398863e-02    7.193855e-06    2.084460e-04    1.075837e-07    0.005358        
12.01   1.396174e-02    7.194005e-06    2.493287e-04    1.300651e-07    0.005349        
14.01   1.393377e-02    7.192946e-06    2.898311e-04    1.517847e-07    0.00533         
16.01   1.390572e-02    7.191939e-06    3.301074e-04    1.729069e-07    0.00532         
18.01   1.387737e-02    7.190832e-06    3.700332e-04    1.948549e-07    0.005314        
20.01   1.384840e-02    7.189761e-06    4.095923e-04    2.151465e-07    0.005297        
22.01   1.381869e-02    7.189074e-06    4.489512e-04    2.370919e-07    0.005285        
24.01   1.378915e-02    7.187152e-06    4.876010e-04    2.585733e-07    0.005272        
26.01   1.375886e-02    7.185023e-06    5.259411e-04    2.794296e-07    0.005256        
28.01   1.372866e-02    7.183331e-06    5.641050e-04    3.013004e-07    0.005235        
30.01   1.369815e-02    7.181262e-06    6.020476e-04    3.224630e-07    0.005224        
32.01   1.366677e-02    7.180826e-06    6.393616e-04    3.457709e-07    0.005204        
34.01   1.363651e-02    7.179847e-06    6.763262e-04    3.670543e-07    0.005193        
36.01   1.360546e-02    7.178441e-06    7.131131e-04    3.905234e-07    0.005172        
38.01   1.357433e-02    7.175461e-06    7.492859e-04    4.116843e-07    0.005163        
40.01   1.354282e-02    7.174710e-06    7.850546e-04    4.343114e-07    0.005159        
42.01   1.351159e-02    7.171065e-06    8.207728e-04    4.555295e-07    0.005143        
44.01   1.347992e-02    7.168955e-06    8.560745e-04    4.769574e-07    0.005122        
46.01   1.344781e-02    7.166695e-06    8.908926e-04    4.988953e-07    0.005109        
48.01   1.341553e-02    7.164172e-06    9.253752e-04    5.220581e-07    0.005098        
50.00   1.338363e-02    7.160559e-06    9.596953e-04    5.434030e-07    0.00507         
52.00   1.335128e-02    7.157568e-06    9.936118e-04    5.658297e-07    0.005046        
54.00   1.331856e-02    7.153626e-06    1.026824e-03    5.870551e-07    0.005034        
56.00   1.328602e-02    7.150466e-06    1.059993e-03    6.093988e-07    0.005015        
58.00   1.325344e-02    7.147988e-06    1.092442e-03    6.312807e-07    0.004996        
60.00   1.322026e-02    7.143196e-06    1.124742e-03    6.530324e-07    0.004974        
62.00   1.318719e-02    7.138666e-06    1.156651e-03    6.736960e-07    0.004958        
64.00   1.315434e-02    7.134942e-06    1.188350e-03    6.954380e-07    0.00494         
66.00   1.312124e-02    7.131125e-06    1.219376e-03    7.173523e-07    0.004917        
68.00   1.308769e-02    7.126282e-06    1.250190e-03    7.378874e-07    0.0049          
70.00   1.305464e-02    7.122352e-06    1.280862e-03    7.586653e-07    0.004877        
72.00   1.302112e-02    7.118713e-06    1.311037e-03    7.803370e-07    0.004863        
74.00   1.298748e-02    7.113725e-06    1.340731e-03    8.016181e-07    0.004845        
76.00   1.295331e-02    7.107290e-06    1.370003e-03    8.209512e-07    0.00482         
78.00   1.291971e-02    7.102895e-06    1.398882e-03    8.426918e-07    0.004801        
80.00   1.288615e-02    7.097980e-06    1.427762e-03    8.645278e-07    0.004784        
82.00   1.285178e-02    7.092270e-06    1.455970e-03    8.854052e-07    0.004766        
84.00   1.281797e-02    7.085770e-06    1.483911e-03    9.055115e-07    0.004752        
86.00   1.278433e-02    7.080899e-06    1.511643e-03    9.265021e-07    0.004735        
88.00   1.275006e-02    7.075796e-06    1.538571e-03    9.477115e-07    0.004722        
90.00   1.271589e-02    7.070478e-06    1.565524e-03    9.688796e-07    0.004708        
92.00   1.268168e-02    7.063715e-06    1.591871e-03    9.895205e-07    0.004697        
94.00   1.264771e-02    7.058444e-06    1.617856e-03    1.010635e-06    0.004674        
96.00   1.261327e-02    7.053639e-06    1.643542e-03    1.032084e-06    0.00465         
98.00   1.257896e-02    7.047192e-06    1.668919e-03    1.051950e-06    0.004639        
100.00  1.254469e-02    7.042605e-06    1.694172e-03    1.073791e-06    0.004627        
