# Elastic Scattering results summary.

Temperature 0.1000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.409073e-02    7.196527e-06    -2.140158e-06   9.662435e-10    0.005401        
2.01    1.408934e-02    7.195569e-06    4.127666e-05    2.356570e-08    0.005413        
4.01    1.408459e-02    7.196070e-06    8.414961e-05    4.352119e-08    0.005412        
6.01    1.406836e-02    7.195573e-06    1.261946e-04    6.421674e-08    0.005402        
8.01    1.404541e-02    7.194187e-06    1.681392e-04    8.583261e-08    0.005388        
10.01   1.401990e-02    7.193855e-06    2.093654e-04    1.075837e-07    0.005367        
12.01   1.399287e-02    7.194005e-06    2.504303e-04    1.300651e-07    0.005358        
14.01   1.396477e-02    7.192946e-06    2.911114e-04    1.517847e-07    0.005339        
16.01   1.393658e-02    7.191939e-06    3.315660e-04    1.729069e-07    0.005329        
18.01   1.390810e-02    7.190832e-06    3.716661e-04    1.948549e-07    0.005323        
20.01   1.387899e-02    7.189761e-06    4.113970e-04    2.151465e-07    0.005306        
22.01   1.384914e-02    7.189074e-06    4.509268e-04    2.370919e-07    0.005294        
24.01   1.381947e-02    7.187152e-06    4.897420e-04    2.585733e-07    0.00528         
26.01   1.378904e-02    7.185023e-06    5.282455e-04    2.794296e-07    0.005265        
28.01   1.375869e-02    7.183331e-06    5.665722e-04    3.013004e-07    0.005244        
30.01   1.372804e-02    7.181262e-06    6.046763e-04    3.224630e-07    0.005232        
32.01   1.369650e-02    7.180826e-06    6.421463e-04    3.457709e-07    0.005212        
34.01   1.366610e-02    7.179847e-06    6.792648e-04    3.670543e-07    0.005202        
36.01   1.363491e-02    7.178441e-06    7.162041e-04    3.905234e-07    0.00518         
38.01   1.360363e-02    7.175461e-06    7.525249e-04    4.116843e-07    0.005171        
40.01   1.357197e-02    7.174710e-06    7.884384e-04    4.343114e-07    0.005168        
42.01   1.354059e-02    7.171065e-06    8.243027e-04    4.555295e-07    0.005152        
44.01   1.350877e-02    7.168955e-06    8.597475e-04    4.769574e-07    0.005131        
46.01   1.347650e-02    7.166695e-06    8.947049e-04    4.988953e-07    0.005117        
48.01   1.344407e-02    7.164172e-06    9.293246e-04    5.220581e-07    0.005106        
50.00   1.341202e-02    7.160559e-06    9.637806e-04    5.434030e-07    0.005078        
52.00   1.337952e-02    7.157568e-06    9.978304e-04    5.658297e-07    0.005053        
54.00   1.334664e-02    7.153626e-06    1.031170e-03    5.870551e-07    0.005042        
56.00   1.331394e-02    7.150466e-06    1.064468e-03    6.093988e-07    0.005023        
58.00   1.328121e-02    7.147988e-06    1.097039e-03    6.312807e-07    0.005003        
60.00   1.324787e-02    7.143196e-06    1.129460e-03    6.530324e-07    0.004981        
62.00   1.321465e-02    7.138666e-06    1.161489e-03    6.736960e-07    0.004966        
64.00   1.318165e-02    7.134942e-06    1.193306e-03    6.954380e-07    0.004947        
66.00   1.314839e-02    7.131125e-06    1.224444e-03    7.173523e-07    0.004924        
68.00   1.311468e-02    7.126282e-06    1.255370e-03    7.378874e-07    0.004907        
70.00   1.308147e-02    7.122352e-06    1.286153e-03    7.586653e-07    0.004884        
72.00   1.304778e-02    7.118713e-06    1.316436e-03    7.803370e-07    0.004869        
74.00   1.301398e-02    7.113725e-06    1.346234e-03    8.016181e-07    0.004852        
76.00   1.297965e-02    7.107290e-06    1.375606e-03    8.209512e-07    0.004826        
78.00   1.294590e-02    7.102895e-06    1.404583e-03    8.426918e-07    0.004807        
80.00   1.291218e-02    7.097980e-06    1.433562e-03    8.645278e-07    0.004791        
82.00   1.287764e-02    7.092270e-06    1.461864e-03    8.854052e-07    0.004772        
84.00   1.284367e-02    7.085770e-06    1.489897e-03    9.055115e-07    0.004758        
86.00   1.280987e-02    7.080899e-06    1.517721e-03    9.265021e-07    0.004741        
88.00   1.277544e-02    7.075796e-06    1.544734e-03    9.477115e-07    0.004728        
90.00   1.274112e-02    7.070478e-06    1.571772e-03    9.688796e-07    0.004714        
92.00   1.270674e-02    7.063715e-06    1.598202e-03    9.895205e-07    0.004703        
94.00   1.267262e-02    7.058444e-06    1.624266e-03    1.010635e-06    0.00468         
96.00   1.263802e-02    7.053639e-06    1.650029e-03    1.032084e-06    0.004656        
98.00   1.260355e-02    7.047192e-06    1.675481e-03    1.051950e-06    0.004645        
100.00  1.256912e-02    7.042605e-06    1.700810e-03    1.073791e-06    0.004632        
