# Elastic Scattering results summary.

Temperature 1.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.401926e-02    7.196527e-06    -1.391567e-06   9.662435e-10    0.00538         
2.01    1.401815e-02    7.195569e-06    4.087936e-05    2.356570e-08    0.005392        
4.01    1.401352e-02    7.196070e-06    8.333504e-05    4.352119e-08    0.005391        
6.01    1.399758e-02    7.195573e-06    1.249623e-04    6.421674e-08    0.005381        
8.01    1.397494e-02    7.194187e-06    1.664879e-04    8.583261e-08    0.005367        
10.01   1.394973e-02    7.193855e-06    2.073053e-04    1.075837e-07    0.005346        
12.01   1.392301e-02    7.194005e-06    2.479620e-04    1.300651e-07    0.005338        
14.01   1.389522e-02    7.192946e-06    2.882427e-04    1.517847e-07    0.005319        
16.01   1.386733e-02    7.191939e-06    3.282977e-04    1.729069e-07    0.005309        
18.01   1.383915e-02    7.190832e-06    3.680071e-04    1.948549e-07    0.005303        
20.01   1.381035e-02    7.189761e-06    4.073531e-04    2.151465e-07    0.005286        
22.01   1.378081e-02    7.189074e-06    4.464999e-04    2.370919e-07    0.005274        
24.01   1.375145e-02    7.187152e-06    4.849445e-04    2.585733e-07    0.005261        
26.01   1.372133e-02    7.185023e-06    5.230817e-04    2.794296e-07    0.005245        
28.01   1.369131e-02    7.183331e-06    5.610436e-04    3.013004e-07    0.005225        
30.01   1.366098e-02    7.181262e-06    5.987859e-04    3.224630e-07    0.005213        
32.01   1.362978e-02    7.180826e-06    6.359062e-04    3.457709e-07    0.005193        
34.01   1.359969e-02    7.179847e-06    6.726797e-04    3.670543e-07    0.005182        
36.01   1.356883e-02    7.178441e-06    7.092773e-04    3.905234e-07    0.005161        
38.01   1.353788e-02    7.175461e-06    7.452665e-04    4.116843e-07    0.005153        
40.01   1.350656e-02    7.174710e-06    7.808552e-04    4.343114e-07    0.005149        
42.01   1.347551e-02    7.171065e-06    8.163922e-04    4.555295e-07    0.005133        
44.01   1.344402e-02    7.168955e-06    8.515162e-04    4.769574e-07    0.005112        
46.01   1.341211e-02    7.166695e-06    8.861612e-04    4.988953e-07    0.005099        
48.01   1.338002e-02    7.164172e-06    9.204737e-04    5.220581e-07    0.005088        
50.00   1.334830e-02    7.160559e-06    9.546251e-04    5.434030e-07    0.00506         
52.00   1.331615e-02    7.157568e-06    9.883760e-04    5.658297e-07    0.005036        
54.00   1.328363e-02    7.153626e-06    1.021430e-03    5.870551e-07    0.005024        
56.00   1.325127e-02    7.150466e-06    1.054439e-03    6.093988e-07    0.005006        
58.00   1.321888e-02    7.147988e-06    1.086737e-03    6.312807e-07    0.004986        
60.00   1.318590e-02    7.143196e-06    1.118885e-03    6.530324e-07    0.004964        
62.00   1.315303e-02    7.138666e-06    1.150646e-03    6.736960e-07    0.004949        
64.00   1.312037e-02    7.134942e-06    1.182198e-03    6.954380e-07    0.004931        
66.00   1.308747e-02    7.131125e-06    1.213085e-03    7.173523e-07    0.004908        
68.00   1.305412e-02    7.126282e-06    1.243760e-03    7.378874e-07    0.004891        
70.00   1.302126e-02    7.122352e-06    1.274293e-03    7.586653e-07    0.004869        
72.00   1.298793e-02    7.118713e-06    1.304335e-03    7.803370e-07    0.004854        
74.00   1.295449e-02    7.113725e-06    1.333899e-03    8.016181e-07    0.004837        
76.00   1.292053e-02    7.107290e-06    1.363046e-03    8.209512e-07    0.004812        
78.00   1.288713e-02    7.102895e-06    1.391803e-03    8.426918e-07    0.004793        
80.00   1.285376e-02    7.097980e-06    1.420560e-03    8.645278e-07    0.004777        
82.00   1.281960e-02    7.092270e-06    1.448651e-03    8.854052e-07    0.004758        
84.00   1.278598e-02    7.085770e-06    1.476478e-03    9.055115e-07    0.004744        
86.00   1.275253e-02    7.080899e-06    1.504095e-03    9.265021e-07    0.004727        
88.00   1.271846e-02    7.075796e-06    1.530919e-03    9.477115e-07    0.004715        
90.00   1.268450e-02    7.070478e-06    1.557767e-03    9.688796e-07    0.004701        
92.00   1.265048e-02    7.063715e-06    1.584011e-03    9.895205e-07    0.00469         
94.00   1.261671e-02    7.058444e-06    1.609897e-03    1.010635e-06    0.004667        
96.00   1.258247e-02    7.053639e-06    1.635486e-03    1.032084e-06    0.004643        
98.00   1.254836e-02    7.047192e-06    1.660769e-03    1.051950e-06    0.004632        
100.00  1.251428e-02    7.042605e-06    1.685929e-03    1.073791e-06    0.00462         
