B sxx sxy
0.00000 4268502.313254131004214 0.000000000000000
0.50000 4298005.504270723089576 5388.090169040280671
1.00000 4277161.572797643952072 10820.160660883791934
1.50000 4272590.548421531915665 16241.278410032980901
2.00000 4270698.849375863559544 21658.104657356474490
2.50000 4269586.107164518907666 27071.512940691754920
3.00000 4268755.085079690441489 32481.407299076054187
3.50000 4268059.181316334754229 37887.423806730505021
4.00000 4267388.658690015785396 43289.085923470345733
4.50000 4266725.009481505490839 48685.890537216218945
5.00000 4266044.582569586113095 54077.315864148004039
5.50000 4265325.238620040006936 59462.836755828458990
6.00000 4264567.862616177648306 64841.936221481744724
6.50000 4263760.398468161933124 70214.101247370228521
7.00000 4262913.225858674384654 75578.832858788387966
7.50000 4262011.542120190337300 80935.637353634883766
8.00000 4261059.963037940673530 86284.036670055851573
8.50000 4260058.133264631032944 91623.563852055536699
9.00000 4259005.013964311219752 96953.764037178174476
9.50000 4257900.926146847195923 102274.195111858207383
10.00000 4256745.360726543702185 107584.427447297362960
10.50000 4255538.967663113027811 112884.043982853094349
11.00000 4254277.823694016784430 118172.639308328434709
11.50000 4252970.041567015461624 123449.822659331795876
12.00000 4251612.436793191358447 128715.212722298281733
12.50000 4250201.748232522048056 133968.440075590187917
13.00000 4248745.308770069852471 139209.149062801530818
13.50000 4247237.300391513854265 144436.992293988470919
14.00000 4245684.544896457344294 149651.636229809460929
14.50000 4244081.340921555645764 154852.755073388718301
15.00000 4242434.103102798573673 160040.036142283206573
15.50000 4240737.964055795222521 165213.174187673721462
16.00000 4238999.000690983608365 170371.876217686774908
16.50000 4237212.271862104535103 175515.856263166147983
17.00000 4235381.207672299817204 180644.839259118365590
17.50000 4233508.651465404778719 185758.558995433937525
18.00000 4231590.561855333857238 190856.756233517604414
18.50000 4229629.913438231684268 195939.181624360935530
19.00000 4227629.550219896249473 201005.593897121667396
19.50000 4225585.445798856206238 206055.757991634338396
20.00000 4223500.547200431115925 211089.447929673333419
20.50000 4221377.372032220475376 216106.444981488486519
21.00000 4219212.530297248624265 221106.536122859630268
21.50000 4217008.626095036044717 226089.516500162542798
22.00000 4214766.225368130952120 231055.187439921632176
22.50000 4212487.811974337324500 236003.357109003467485
23.00000 4210170.022905220277607 240933.838579460221808
23.50000 4207815.407869417220354 245846.452220710576512
24.00000 4205424.510728606022894 250741.023793201136868
24.50000 4202999.494398626498878 255617.385091129719513
25.00000 4200537.577949640341103 260475.372251707100077
25.50000 4198040.978674111887813 265314.827826421882492
26.00000 4195510.216198960319161 270135.599153226707131
26.50000 4192945.804016542620957 274937.538566514151171
27.00000 4190349.872563146986067 279720.503609960025642
27.50000 4187719.625778009183705 284484.355483582592569
28.00000 4185057.235312801785767 289228.961008861719165
28.50000 4182363.189902208279818 293954.191120917967055
29.00000 4179637.972203393466771 298659.921081228996627
29.50000 4176882.058845679275692 303346.030370418448001
30.00000 4174097.241905163042247 308012.402874807012267
30.50000 4171281.300811322405934 312658.925572739506606
31.00000 4168436.060019020456821 317285.490240542043466
31.50000 4165561.972435177303851 321891.992155623040162
32.00000 4162659.485284782946110 326478.330310135905165
32.50000 4159729.040027677547187 331044.407311283401214
33.00000 4156771.072603599168360 335590.129308394913096
33.50000 4153787.327211261261255 340115.406200938567054
34.00000 4150775.568163519725204 344620.150411307055037
34.50000 4147737.563368597067893 349104.278525611676741
35.00000 4144673.727109588216990 353567.710090990236495
35.50000 4141584.468488360289484 358010.367834005446639
36.00000 4138470.191534465178847 362432.177598332578782
36.50000 4135331.295205416623503 366833.068285176472273
37.00000 4132168.173538714181632 371212.971794181969017
37.50000 4128982.269558257423341 375571.823220284481067
38.00000 4125771.832572423387319 379909.559823547315318
38.50000 4122538.324376108124852 384226.122436747420579
39.00000 4119282.119960037525743 388521.454454401275143
39.50000 4116003.589720131363720 392795.502025345689617
40.00000 4112703.099602169357240 397048.214015096949879
40.50000 4109381.011101855896413 401279.541959194291849
41.00000 4106037.681416838895530 405489.440030481899157
41.50000 4102673.463458919897676 409677.864999342418741
42.00000 4099288.705934993457049 413844.776194361795206
42.50000 4095884.797149165999144 417990.135701068153139
43.00000 4092459.969461594242603 422113.907416809583083
43.50000 4089015.624449521768838 426216.058375130174682
44.00000 4085552.094644244760275 430296.557815972133540
44.50000 4082069.708693930879235 434355.377378312230576
45.00000 4078568.791459742002189 438392.491074223536998
45.50000 4075049.663978524040431 442407.875250285433140
46.00000 4071512.643633305095136 446401.508572372258641
46.50000 4067958.044138332363218 450373.371990501997061
47.00000 4064386.175617360044271 454323.448715009086300
47.50000 4060797.344671241007745 458251.724191446206532
48.00000 4057191.854360539466143 462158.186067598580848
48.50000 4053570.810923664830625 466042.824366544897202
49.00000 4049932.881052838172764 469905.630701924965251
49.50000 4046279.181059173308313 473746.599381162668578
50.00000 4042610.000539542175829 477565.726634951832239
50.50000 4038925.625810633879155 481363.010773271147627
51.00000 4035226.339999409392476 485138.452168716234155
51.50000 4031512.423015949781984 488892.053221361944452
52.00000 4027784.151684756856412 492623.818347665190231
52.50000 4024041.799736228771508 496333.753950037469622
53.00000 4020285.637808021623641 500021.868386826012284
53.50000 4016515.933566302992404 503688.171960363280959
54.00000 4012732.951688491273671 507332.676884546468500
54.50000 4008936.953868410084397 510955.397258194279857
55.00000 4005128.198959985747933 514556.349052995734382
55.50000 4001306.942851452622563 518135.550071059784386
56.00000 3997474.235401839017868 521693.020119861175772
56.50000 3993628.721602455712855 525228.780263937544078
57.00000 3989771.457814191933721 528742.853857461828738
57.50000 3985902.688809211365879 532235.265828836592846
58.00000 3982022.656599005684257 535706.042818741756491
58.50000 3978131.600551222451031 539155.213166270870715
59.00000 3974229.757357933558524 542582.806876033195294
59.50000 3970317.361030061263591 545988.855590320774354
60.00000 3966394.643042313400656 549373.392576980753802
60.50000 3962461.832248123362660 552736.452690671430901
61.00000 3958519.154963853769004 556078.072355369338766
61.50000 3954566.834947093389928 559398.289533176110126
62.00000 3950605.093493300490081 562697.143704632646404
62.50000 3946634.149421953596175 565974.675843853503466
63.00000 3942654.219033929985017 569230.928379537072033
