B sxx sxy
0.00000 426849181.336484074592590 0.000000000000000
0.50000 404259804.091552138328552 47756457.369112409651279
1.00000 363549809.063644766807556 75557592.356039851903915
1.50000 323439667.631195068359375 87695707.668663457036018
2.00000 288685779.834336459636688 91322195.594543963670731
2.50000 259560022.585871070623398 90786215.459857150912285
3.00000 235245255.958776354789734 88303890.458865970373154
3.50000 214824786.877076029777527 84976612.520995348691940
4.00000 197517523.995518833398819 81354927.371739909052849
4.50000 182704827.787726402282715 77714648.759981065988541
5.00000 169906708.431026905775070 74191482.303830102086067
5.50000 158751484.065167307853699 70848229.316759794950485
6.00000 148949683.116727501153946 67709296.926446452736855
6.50000 140273908.496244519948959 64778894.458841852843761
7.00000 132543733.792073011398315 62050823.384802646934986
7.50000 125614565.781635075807571 59513826.028311520814896
8.00000 119369383.540521264076233 57154515.786442250013351
8.50000 113712597.645127713680267 54958980.256441839039326
9.00000 108565450.976901680231094 52913640.907190568745136
9.50000 103862474.259054541587830 51005662.965696550905704
10.00000 99548886.980236917734146 49223176.483771130442619
10.50000 95578489.158419877290726 47555317.731882482767105
11.00000 91912066.083087563514709 45992218.093991689383984
11.50000 88516125.846778839826584 44524950.849430225789547
12.00000 85361898.832862496376038 43145460.063546210527420
12.50000 82424538.479555428028107 41846483.252706669270992
13.00000 79682477.238411769270897 40621474.017184481024742
13.50000 77116907.301841929554939 39464529.649129457771778
14.00000 74711352.785126358270645 38370322.655603915452957
14.50000 72451321.057040676474571 37334039.138151332736015
15.00000 70324014.161457940936089 36351323.627924993634224
15.50000 68318088.792006447911263 35418229.487147800624371
16.00000 66423455.881983816623688 34531174.897365070879459
16.50000 64631112.337606392800808 33686903.842408038675785
17.00000 62932999.076588407158852 32882451.573584154248238
17.50000 61321897.674203611910343 32115128.069522328674793
18.00000 59791262.739722438156605 31382437.498526364564896
18.50000 58335228.508116714656353 30682131.109420735388994
19.00000 56948473.234983287751675 30012137.028212413191795
19.50000 55626169.096774376928806 29370553.260139036923647
20.00000 54363926.264269292354584 28755631.044280618429184
20.50000 53157744.394855029881001 28165760.063571445643902
21.00000 52003970.422328375279903 27599455.284794252365828
21.50000 50899261.712174251675606 27055345.231547534465790
22.00000 49840553.804357625544071 26532161.518179416656494
22.50000 48825032.091747015714645 26028729.494565270841122
23.00000 47850106.885880477726460 25543959.870703298598528
23.50000 46913391.407245561480522 25076841.206712391227484
24.00000 46012682.308031171560287 24626433.168255321681499
24.50000 45145942.394174709916115 24191860.459951877593994
25.00000 44311285.262624092400074 23772307.360221952199936
25.50000 43506961.610863670706749 23367012.790454991161823
26.00000 42731347.010328903794289 22975265.859608814120293
26.50000 41982930.964429326355457 22596401.832470834255219
27.00000 41260307.096560023725033 22229798.476028025150299
27.50000 40562164.334367215633392 21874872.743794649839401
28.00000 39887278.974293775856495 21531077.762657020241022
28.50000 39234507.525613360106945 21197900.090915575623512
29.00000 38602780.246112525463104 20874857.219794947654009
29.50000 37991095.292717754840851 20561495.293837349861860
30.00000 37398513.419918000698090 20257387.028363682329655
30.50000 36824153.167086288332939 19962129.804594788700342
31.00000 36267186.482921317219734 19675343.925159744918346
31.50000 35726834.741405583918095 19396671.014591459184885
32.00000 35202365.109026059508324 19125772.551051899790764
32.50000 34693087.227665267884731 18862328.516998097300529
33.00000 34198350.181632436811924 18606036.157773401588202
33.50000 33717539.720845237374306 18356608.838260278105736
34.00000 33250075.715288694947958 18113774.988730590790510
34.50000 32795409.818588633090258 17877277.131933066993952
35.00000 32353023.320939056575298 17646870.984247919172049
35.50000 31922425.173718292266130 17422324.624450813978910
36.00000 31503150.170000426471233 17203417.724261291325092
36.50000 31094757.266790363937616 16989940.835406899452209
37.00000 30696828.036277282983065 16781694.728446207940578
37.50000 30308965.234679654240608 16578489.779040338471532
38.00000 29930791.478396404534578 16380145.397762758657336
38.50000 29561948.018197987228632 16186489.499903984367847
39.00000 29202093.603090491145849 15997358.012050209566951
39.50000 28850903.426292505115271 15812594.412504062056541
40.00000 28508068.146485645323992 15632049.302882637828588
40.50000 28173292.978143695741892 15455580.008461996912956
41.00000 27846296.845315780490637 15283050.205048466101289
41.50000 27526811.593761608004570 15114329.570355460047722
42.00000 27214581.256800498813391 14949293.458032147958875
42.50000 26909361.370645679533482 14787822.592652115970850
43.00000 26610918.335380814969540 14629802.784110384061933
43.50000 26319028.818065971136093 14475124.660008810460567
44.00000 26033479.194768734276295 14323683.414723392575979
44.50000 25754065.028590366244316 14175378.573958572000265
45.00000 25480590.581009116023779 14030113.773685509338975
45.50000 25212868.354083269834518 13887796.552454601973295
46.00000 24950718.661266323179007 13748338.156146844848990
46.50000 24693969.224769189953804 13611653.354309238493443
47.00000 24442454.797571342438459 13477660.267278946936131
47.50000 24196016.808342929929495 13346280.203368058428168
48.00000 23954503.027666930109262 13217437.505431871861219
48.50000 23717767.254094783216715 13091059.406199404969811
49.00000 23485669.018664412200451 12967075.891786737367511
49.50000 23258073.306634113192558 12845419.572861660271883
50.00000 23034850.295268222689629 12726025.562962183728814
50.50000 22815875.106607586145401 12608831.363513279706240
51.00000 22601124.968926474452019 12493869.151960223913193
51.50000 22390292.856294780969620 12380899.438422568142414
52.00000 22183361.377634607255459 12269955.352961290627718
52.50000 21980223.226845983415842 12160982.916954800486565
53.00000 21780774.999044906347990 12053930.051333015784621
53.50000 21584917.014841757714748 11948746.493833504617214
54.00000 21392553.154036872088909 11845383.720539236441255
54.50000 21203590.698144108057022 11743794.871442796662450
55.00000 21017940.181203998625278 11643934.679799906909466
55.50000 20835515.248379707336426 11545759.405044972896576
56.00000 20656232.521868675947189 11449226.769068112596869
56.50000 20480011.473688542842865 11354295.895650982856750
57.00000 20306774.304932508617640 11260927.252886962145567
57.50000 20136445.831113770604134 11169082.598413094878197
58.00000 19968953.373240157961845 11078724.927294375374913
58.50000 19804226.654293294996023 10989818.422413069754839
59.00000 19642197.700794927775860 10902328.407223790884018
59.50000 19482800.749179836362600 10816221.300744632259011
60.00000 19325972.156693913042545 10731464.574658451601863
60.50000 19171650.316573027521372 10648026.712415134534240
61.00000 19019775.577258627861738 10565877.170223494991660
61.50000 18870290.165430795401335 10484986.339831223711371
62.00000 18723138.112648706883192 10405325.513001801446080
62.50000 18578265.185404051095247 10326866.847594657912850
63.00000 18435618.818401183933020 10249583.335167616605759
63.50000 18295148.050893414765596 10173448.770021643489599
64.00000 18156803.465914327651262 10098437.719613287597895
64.50000 18020537.132248967885971 10024525.496265735477209
65.00000 17886302.549003455787897 9951688.130112100392580
65.50000 17754054.592638947069645 9879902.343208292499185
66.00000 17623749.466341417282820 9809145.524757619947195
66.50000 17495344.651608489453793 9739395.707392439246178
67.00000 17368798.861942552030087 9670631.544458564370871
67.50000 17244071.998540546745062 9602832.288256008177996
68.00000 17121125.107884317636490 9535977.769187109544873
68.50000 16999920.341134537011385 9470048.375770146027207
69.00000 16880420.915241394191980 9405025.035475172102451
69.50000 16762591.075684849172831 9340889.196344221010804
70.00000 16646396.060770241543651 9277622.809357702732086
70.50000 16531802.067397952079773 9215208.311513479799032
71.00000 16418776.218242146074772 9153628.609582303091884
71.50000 16307286.530267791822553 9092867.064511958509684
72.00000 16197301.884524840861559 9032907.476447179913521
72.50000 16088791.997157471254468 8973734.070339096710086
73.00000 15981727.391573540866375 8915331.482115957885981
73.50000 15876079.371720151975751 8857684.745390245690942
74.00000 15771819.996413264423609 8800779.278678992763162
74.50000 15668922.054674334824085 8744600.873113088309765
75.00000 15567359.042027313262224 8689135.680613631382585
75.50000 15467105.137713987380266 8634370.202517231926322
76.00000 15368135.182784706354141 8580291.278626671060920
76.50000 15270424.659026186913252 8526886.076672300696373
77.00000 15173949.668690631166101 8474142.082163924351335
77.50000 15078686.914988422766328 8422047.088616630062461
78.00000 14984613.683312529698014 8370589.188135781325400
78.50000 14891707.823163464665413 8319756.762345091439784
79.00000 14799947.730742005631328 8269538.473642528057098
79.50000 14709312.332184048369527 8219923.256772129796445
80.00000 14619781.067407831549644 8170900.310696833766997
80.50000 14531333.874549193307757 8122459.090760994702578
81.00000 14443951.174958430230618 8074589.301129406318069
81.50000 14357613.858736906200647 8027280.887493298389018
82.00000 14272303.270789375528693 7980524.030030297115445
82.50000 14188001.197372371330857 7934309.136609813198447
83.00000 14104689.853116814047098 7888626.836233165115118
83.50000 14022351.868505382910371 7843467.972698652185500
84.00000 13940970.277787251397967 7798823.598483837209642
84.50000 13860528.507311958819628 7754684.968834924511611
85.00000 13781010.364265417680144 7711043.536056537181139
85.50000 13702400.025791658088565 7667890.943993012420833
86.00000 13624682.028485594317317 7625219.022693733684719
86.50000 13547841.258242221549153 7583019.783256402239203
87.00000 13471862.940447751432657 7541285.412840233184397
87.50000 13396732.630498629063368 7500008.269843153655529
88.00000 13322436.204638540744781 7459180.879236792214215
88.50000 13248959.851096510887146 7418795.928052627481520
89.00000 13176290.061519345268607 7378846.261014780960977
89.50000 13104413.622683662921190 7339324.876312725245953
90.00000 13033317.608478400856256 7300224.921509334817529
90.50000 12962989.372147677466273 7261539.689579251222312
91.00000 12893416.538783477619290 7223262.615072765387595
91.50000 12824586.998058998957276 7185387.270399932749569
92.00000 12756488.897194122895598 7147907.362231649458408
92.50000 12689110.634144578129053 7110816.728012798354030
93.00000 12622440.851004892960191 7074109.332583029754460
93.50000 12556468.427620491012931 7037779.264902402646840
94.00000 12491182.475396901369095 7001820.734876920469105
94.50000 12426572.331303751096129 6966228.070281362161040
95.00000 12362627.552063010632992 6930995.713775524869561
95.50000 12299337.908515181392431 6896118.220010155811906
96.00000 12236693.380160013213754 6861590.252820666879416
96.50000 12174684.149862045422196 6827406.582504348829389
97.00000 12113300.598716020584106 6793562.083178590983152
97.50000 12052533.301068911328912 6760051.730217770673335
98.00000 11992373.019689865410328 6726870.597765002399683
98.50000 11932810.701084412634373 6694013.856317810714245
99.00000 11873837.470948075875640 6661476.770383365452290
99.50000 11815444.629754608497024 6629254.696202317252755
100.00000 11757623.648473633453250 6597343.079538769088686
100.50000 11700366.164413053542376 6565737.453532814979553
101.00000 11643663.977184088900685 6534433.436615617945790
101.50000 11587509.044781379401684 6503426.730483324266970
102.00000 11531893.479776954278350 6472713.118128582835197
102.50000 11476809.545624461025000 6442288.461927931755781
103.00000 11422249.653067205101252 6412148.701782074756920
103.50000 11368206.356648912653327 6382289.853309473022819
104.00000 11314672.351323995739222 6352708.006089053116739
104.50000 11261640.469162384048104 6323399.321952063590288
105.00000 11209103.676146937534213 6294360.033321196213365
105.50000 11157055.069060746580362 6265586.441595295444131
106.00000 11105487.872459515929222 6237074.915577714331448
106.50000 11054395.435729498043656 6208821.889948146417737
107.00000 11003771.230225156992674 6180823.863775419071317
107.50000 10953608.846484931185842 6153077.399070362560451
108.00000 10903901.991524402052164 6125579.119377770461142
108.50000 10854644.486201070249081 6098325.708405881188810
109.00000 10805830.262652380391955 6071313.908692162483931
109.50000 10757453.361800452694297 6044540.520304904319346
110.00000 10709507.930925311520696 6018002.399578139185905
110.50000 10661988.221301859244704 5991696.457880941219628
111.00000 10614888.585901267826557 5965619.660418409854174
111.50000 10568203.477149618789554 5939769.025062994100153
112.00000 10521927.444749375805259 5914141.621217781677842
112.50000 10476055.133555637672544 5888734.568707811646163
113.00000 10430581.281508250162005 5863545.036700166761875
113.50000 10385500.717618022114038 5838570.242652216926217
114.00000 10340808.360004989430308 5813807.451286262832582
114.50000 10296499.213985471054912 5789253.973589571192861
115.00000 10252568.370211990550160 5764907.165841194801033
115.50000 10209011.002855950966477 5740764.428661638870835
116.00000 10165822.367840159684420 5716823.206087649799883
116.50000 10122997.801114497706294 5693080.984669077210128
117.00000 10080532.716975547373295 5669535.292588993906975
117.50000 10038422.606427170336246 5646183.698804822750390
118.00000 9996663.035584375262260 5623023.812211366370320
118.50000 9955249.644114844501019 5600053.280823869630694
119.00000 9914178.143719751387835 5577269.790981047786772
119.50000 9873444.316652610898018 5554671.066567964851856
120.00000 9833044.014273766428232 5532254.868257377296686
120.50000 9792973.155640758574009 5510018.992769279517233
121.00000 9753227.726132662966847 5487961.272148669697344
121.50000 9713803.776108220219612 5466079.573060267604887
122.00000 9674697.419596418738365 5444371.796100353822112
122.50000 9635904.833018276840448 5422835.875124503858387
123.00000 9597422.253939544782043 5401469.776591849513352
123.50000 9559245.979853061959147 5380271.498924227431417
124.00000 9521372.366990497335792 5359239.071881020441651
124.50000 9483797.829161208122969 5338370.555947564542294
125.00000 9446518.836620636284351 5317664.041739122942090
125.50000 9409531.914962438866496 5297117.649417669512331
126.00000 9372833.644039060920477 5276729.528122790157795
126.50000 9336420.656906252726912 5256497.855415091849864
127.00000 9300289.638792190700769 5236420.836733219213784
127.50000 9264437.326091110706329 5216496.704862211830914
128.00000 9228860.505379525944591 5196723.719415090046823
128.50000 9193556.012455455958843 5177100.166325517930090
129.00000 9158520.731398563832045 5157624.357351652346551
129.50000 9123751.593654099851847 5138294.629592115990818
130.00000 9089245.577134886756539 5119109.345012065954506
130.50000 9054999.705345958471298 5100066.889980318956077
131.00000 9021011.046526826918125 5081165.674816019833088
131.50000 8987276.712815046310425 5062404.133346430025995
132.00000 8953793.859427191317081 5043780.722473805770278
132.50000 8920559.683857813477516 5025293.921751789748669
133.00000 8887571.425098648294806 5006942.232971448451281
133.50000 8854826.362870909273624 4988724.179756170138717
134.00000 8822321.816878829151392 4970638.307165428996086
134.50000 8790055.146076451987028 4952683.181306810118258
135.00000 8758023.747952530160546 4934857.388957200571895
135.50000 8726225.057829530909657 4917159.537191310897470
136.00000 8694656.548179075121880 4899588.253018693998456
136.50000 8663315.727951014414430 4882142.183028489351273
137.00000 8632200.141918374225497 4864819.993041150271893
137.50000 8601307.370034778490663 4847620.367768586613238
138.00000 8570635.026807321235538 4830542.010480678640306
138.50000 8540180.760681295767426 4813583.642679148353636
139.00000 8509942.253439104184508 4796744.003777983598411
139.50000 8479917.219611804932356 4780021.850791510194540
140.00000 8450103.405901787802577 4763415.958027374930680
140.50000 8420498.590619385242462 4746925.116787451319396
141.00000 8391100.583130398765206 4730548.135073960758746
141.50000 8361907.223315400071442 4714283.837302413769066
142.00000 8332916.381039494648576 4698131.064019347541034
142.50000 8304125.955634923651814 4682088.671627380885184
143.00000 8275533.875392081215978 4666155.532114540226758
143.50000 8247138.097062839195132 4650330.532789601013064
144.00000 8218936.605373179540038 4634612.576023241505027
144.50000 8190927.412546185776591 4619000.578993715345860
145.00000 8163108.557834208011627 4603493.473437915556133
145.50000 8135478.107061510905623 4588090.205407722853124
146.00000 8108034.152175023220479 4572789.735030921176076
146.50000 8080774.810805088840425 4557591.036276737228036
147.00000 8053698.225834809243679 4542493.096726763993502
147.50000 8026802.564977661706507 4527494.917349414899945
148.00000 8000086.020363913848996 4512595.512279822491109
148.50000 7973546.808135161176324 4497793.908603206276894
149.00000 7947183.168047457933426 4483089.146143412217498
149.50000 7920993.363080750219524 4468480.277254329994321
150.00000 7894975.679058121517301 4453966.366616969928145
