B sxx sxy
0.00000 21342469.142475448548794 0.000000000000000
0.50000 21347888.992852270603180 135357.398004818387562
1.00000 21330181.044878453016281 270386.243153625749983
1.50000 21310015.598386481404305 404677.677569127292372
2.00000 21283684.466402832418680 537921.449894987512380
2.50000 21250966.146486118435860 669841.328643245506100
3.00000 21212127.674555689096451 800199.117424053954892
3.50000 21167500.130174450576305 928791.532359639531933
4.00000 21117459.276922971010208 1055445.769458264345303
4.50000 21062395.294758763164282 1180015.099147844826803
5.00000 21002643.770842328667641 1302374.949844421353191
5.50000 20938553.643104895949364 1422419.631996669806540
6.00000 20870434.703073754906654 1540059.624349063728005
6.50000 20798599.913600750267506 1655219.395843096077442
7.00000 20723322.950595129281282 1767835.648385566892102
7.50000 20644859.952164549380541 1877855.942381992004812
8.00000 20563468.958731003105640 1985237.618067361647263
8.50000 20479371.772681608796120 2089946.936925656162202
9.00000 20392796.535139419138432 2191958.417602621484548
9.50000 20303938.834846399724483 2291254.277182378340513
10.00000 20213001.680672012269497 2387823.974799757357687
10.50000 20120160.202175725251436 2481663.788407471030951
11.00000 20025591.722111094743013 2572776.432771778199822
11.50000 19929463.727229483425617 2661170.677518379874527
12.00000 19831923.017673615366220 2746860.964418388437480
12.50000 19733120.068588040769100 2829867.026432158891112
13.00000 19633193.224500373005867 2910213.490777900442481
13.50000 19532276.014884568750858 2987929.480767599307001
14.00000 19430486.141319267451763 3063048.210015612188727
14.50000 19327943.162755802273750 3135606.584309640806168
15.00000 19224756.994794078171253 3205644.801146992482245
15.50000 19121031.207251343876123 3273205.961360682733357
16.00000 19016866.072435263544321 3338335.693059302866459
16.50000 18912347.592644248157740 3401081.787479770835489
17.00000 18807564.824081815779209 3461493.859330778010190
17.50000 18702598.589471664279699 3519623.020242754369974
18.00000 18597524.644154388457537 3575521.576373867224902
18.50000 18492413.908490784466267 3629242.747314884793013
19.00000 18387334.655403889715672 3680840.407081112265587
19.50000 18282344.789363794028759 3730368.845077396836132
20.00000 18177504.136492662131786 3777882.553181156981736
20.50000 18072866.490403480827808 3823436.028771199285984
21.00000 17968481.885950021445751 3867083.600430548656732
21.50000 17864396.792440272867680 3908879.272276688367128
22.00000 17760654.301277045160532 3948876.585151345469058
22.50000 17657294.313572477549314 3987128.496447107288986
23.00000 17554355.692246891558170 4023687.274306600913405
23.50000 17451868.430689364671707 4058604.404590911697596
24.00000 17349865.920221786946058 4091930.516086180694401
24.50000 17248376.959557548165321 4123715.311616708058864
25.00000 17147427.959323287010193 4154007.515448597259820
25.50000 17047043.079557124525309 4182854.827847994863987
26.00000 16947244.358196105808020 4210303.887626205570996
26.50000 16848051.847276065498590 4236400.246433190070093
27.00000 16749483.734038177877665 4261188.348867517895997
27.50000 16651556.446770828217268 4284711.516141740605235
28.00000 16554284.767342854291201 4307011.939092335291207
28.50000 16457683.231964971870184 4328130.676648810505867
29.00000 16361760.999955641105771 4348107.655147055163980
29.50000 16266529.856285838410258 4366981.673651092685759
30.00000 16171998.976225802674890 4384790.412944754585624
30.50000 16078176.352763434872031 4401570.448133560828865
31.00000 15985068.876593613997102 4417357.263690003193915
31.50000 15892682.403502283617854 4432185.267693412490189
32.00000 15801021.821077695116401 4446087.809139687567949
32.50000 15710091.117736550047994 4459097.198964532464743
33.00000 15619893.447361223399639 4471244.731219425797462
33.50000 15530431.186828343197703 4482560.705626333132386
34.00000 15441705.990260245278478 4493074.450743604451418
34.50000 15353718.833264980465174 4502814.344433935359120
35.00000 15266470.063046084716916 4511807.838245990686119
35.50000 15179959.446538010612130 4520081.482723483815789
36.00000 15094186.211918396875262 4527660.951324884779751
36.50000 15009150.371931536123157 4534571.064774389378726
37.00000 14924847.597369389608502 4540835.814437877386808
37.50000 14841277.044766550883651 4546478.388965331949294
38.00000 14758436.161609835922718 4551521.194380423054099
38.50000 14676322.029383577406406 4555985.878099498338997
39.00000 14594931.396219257265329 4559893.353712202981114
39.50000 14514260.703468846157193 4563263.823615626432002
40.00000 14434306.110631670802832 4566116.801231781020761
40.50000 14355063.519135206937790 4568471.132983844727278
41.00000 14276528.594444883987308 4570345.019742568023503
41.50000 14198696.787866303697228 4571756.038291214965284
42.00000 14121563.358251374214888 4572721.163025471381843
42.50000 14045123.383122041821480 4573256.782947792671621
43.00000 13969371.775602186098695 4573378.720914555713534
43.50000 13894303.306545251980424 4573102.254386754706502
44.00000 13819912.619213672354817 4572442.134150628000498
44.50000 13746194.241209255531430 4571412.601874590851367
45.00000 13673142.597472768276930 4570027.407373701222241
45.50000 13600752.022546887397766 4568299.825490811839700
46.00000 13529016.771737653762102 4566242.672338689677417
46.50000 13457931.031776603311300 4563868.321158630773425
47.00000 13387488.930672433227301 4561188.717635214328766
47.50000 13317684.547569736838341 4558215.395055726170540
48.00000 13248511.923895230516791 4554959.490042447112501
48.50000 13179965.796039590612054 4551431.753991470672190
49.00000 13112038.663589412346482 4547642.564420470036566
49.50000 13044725.232666159048676 4543601.942038909532130
50.00000 12978019.450568802654743 4539319.562010125257075
50.50000 12911915.258236989378929 4534804.766116989776492
51.00000 12846406.595004251226783 4530066.574303094297647
51.50000 12781487.403561722487211 4525113.695801872760057
52.00000 12717151.636916246265173 4519954.540121367201209
52.50000 12653393.261994544416666 4514597.227748624980450
53.00000 12590206.262789951637387 4509049.600190193392336
53.50000 12527584.644300198182464 4503319.229788026772439
54.00000 12465522.435879703611135 4497413.429099276661873
54.50000 12404013.694588419049978 4491339.260057511739433
55.00000 12343052.507879124954343 4485103.542674101889133
55.50000 12282632.996468985453248 4478712.863571262918413
56.00000 12222749.317756092175841 4472173.584668748080730
56.50000 12163395.669785181060433 4465491.852143581956625
57.00000 12104566.287191597744823 4458673.600765751674771
57.50000 12046255.443924386054277 4451724.561338180676103
58.00000 11988457.458474226295948 4444650.269747128710151
58.50000 11931166.694899789988995 4437456.073568784631789
59.00000 11874377.563802361488342 4430147.138421892188489
59.50000 11818084.523471340537071 4422728.454245253466070
60.00000 11762282.080866241827607 4415204.841328481212258
60.50000 11706964.792676303535700 4407580.956233045086265
61.00000 11652127.266068218275905 4399861.297393570654094
61.50000 11597764.159488553181291 4392050.210603837855160
62.00000 11543870.183308454230428 4384151.894281612709165
62.50000 11490440.100331051275134 4376170.404521511867642
63.00000 11437468.726202918216586 4368109.660009458661079
63.50000 11384950.929293343797326 4359973.446662191301584
64.00000 11332881.630888495594263 4351765.422071322798729
64.50000 11281255.807355519384146 4343489.119974736124277
65.00000 11230068.489704495295882 4335147.954637179151177
65.50000 11179314.763029076159000 4326745.224882522597909
66.00000 11128989.766618091613054 4318284.118007914163172
66.50000 11079088.694020893424749 4309767.713567198254168
67.00000 11029606.793017452582717 4301198.987026885151863
67.50000 10980540.092397233471274 4292580.816344237886369
68.00000 10931882.487379593774676 4283915.973417974077165
68.50000 10883630.122830463573337 4275207.145399303175509
69.00000 10835778.465671988204122 4266456.927529142238200
69.50000 10788323.033313637599349 4257667.825831603258848
70.00000 10741259.394139874726534 4248842.260102017782629
70.50000 10694583.170232053846121 4239982.568591801449656
71.00000 10648290.036871742457151 4231091.010724488645792
71.50000 10602375.721857529133558 4222169.769547536037862
72.00000 10556836.004936939105392 4213220.954157830215991
72.50000 10511666.717356575652957 4204246.602119261398911
73.00000 10466863.741581393405795 4195248.681906278245151
73.50000 10422423.010716371238232 4186229.095094264019281
74.00000 10378340.508220894262195 4177189.678655928932130
74.50000 10334612.267353219911456 4168132.207025976385921
75.00000 10291234.370800368487835 4159058.394210505299270
75.50000 10248202.950154049322009 4149969.895737998653203
76.00000 10205514.185494158416986 4140868.310613509733230
76.50000 10163164.304874109104276 4131755.183150187600404
77.00000 10121149.583842743188143 4122632.004766103345901
77.50000 10079466.344948371872306 4113500.215710047166795
78.00000 10038110.957257341593504 4104361.206741673406214
78.50000 9997079.835841570049524 4095216.320737725123763
79.00000 9956369.441259754821658 4086066.854242383968085
79.50000 9915976.279073536396027 4076914.058986384887248
80.00000 9875896.899315357208252 4067759.143328428268433
80.50000 9836127.895992318168283 4058603.273669112939388
81.00000 9796665.906555952504277 4049447.575798769947141
81.50000 9757507.611403558403254 4040293.136216676328331
82.00000 9718649.733346506953239 4031141.003390592057258
82.50000 9680089.037106372416019 4021992.188987836707383
83.00000 9641822.328768510371447 4012847.669050310272723
83.50000 9603846.455198824405670 4003708.385140887927264
84.00000 9566158.303169837221503 3994575.245408252347261
84.50000 9528754.798750994727015 3985449.125559008680284
85.00000 9491632.908287938684225 3976330.869965038727969
85.50000 9454789.637456117197871 3967221.292792650870979
86.00000 9418222.030136683955789 3958121.178917063865811
86.50000 9381927.168054884299636 3949031.284862779546529
