B sxx sxy
0.00000 42684927.679002076387405 0.000000000000000
0.50000 42660351.622796714305878 540772.402266470366158
1.00000 42567358.348623327910900 1075842.727957023773342
1.50000 42424244.639019578695297 1600397.969029778148979
2.00000 42234907.689256764948368 2110891.171373191755265
2.50000 42005276.512155048549175 2604749.421841312199831
3.00000 41740858.181552901864052 3080118.651582326274365
3.50000 41446634.480201072990894 3535670.571262288372964
4.00000 41126926.282925926148891 3970474.373144742101431
4.50000 40785581.215105272829533 4383915.825783284381032
5.00000 40425991.281185604631901 4775646.785026315599680
5.50000 40051171.126468494534492 5145551.537457194179296
6.00000 39663833.486299693584442 5493720.429238813929260
6.50000 39266373.659551724791527 5820425.303008521907032
7.00000 38860959.261924937367439 6126094.555613594129682
7.50000 38449500.729578860104084 6411287.545709201134741
8.00000 38033718.655687153339386 6676669.131667206995189
8.50000 37615115.923231355845928 6922985.261302608996630
9.00000 37195035.330835074186325 7151040.488108921796083
9.50000 36774655.133272290229797 7361677.938467263244092
10.00000 36354993.869343712925911 7555762.016464062966406
10.50000 35936949.146117396652699 7734163.894191879779100
11.00000 35521293.759046569466591 7897749.644895154051483
11.50000 35108696.335508540272713 8047370.802924227900803
12.00000 34699716.581679359078407 8183857.065189571119845
12.50000 34294840.454221390187740 8308010.842017732560635
13.00000 33894473.051366135478020 8420603.364347781985998
13.50000 33498951.606443166732788 8522372.064914872869849
14.00000 33108553.481040086597204 8614019.024045160040259
14.50000 32723505.767752312123775 8696210.235453924164176
15.00000 32343981.536865055561066 8769575.531631769612432
15.50000 31970121.157820899039507 8834709.014830060303211
16.00000 31602026.871661577373743 8892169.888932866975665
16.50000 31239769.954432733356953 8942483.518306776881218
17.00000 30883394.873043242841959 8986142.744047595188022
17.50000 30532922.855487156659365 9023609.307819332927465
18.00000 30188354.994294490665197 9055315.324966061860323
18.50000 29849677.618884731084108 9081664.844371350482106
19.00000 29516854.595179758965969 9103035.399281511083245
19.50000 29189844.916593473404646 9119779.515855427831411
20.00000 28868594.201178889721632 9132226.211357841268182
20.50000 28553039.027934163808823 9140682.451365543529391
21.00000 28243108.415759310126305 9145434.542338952422142
21.50000 27938725.116059564054012 9146749.465176386758685
22.00000 27639806.673328768461943 9144876.102068908512592
22.50000 27346266.502701252698898 9140046.461764093488455
23.00000 27058014.727004915475845 9132476.807689644396305
23.50000 26774958.923506166785955 9122368.716970849782228
24.00000 26497004.788183629512787 9109910.081492723897099
24.50000 26224058.157091010361910 9095276.052071876823902
25.00000 25956019.615220554172993 9078629.872280139476061
25.50000 25692793.792201746255159 9060123.724486632272601
26.00000 25434283.769647959619761 9039899.486920638009906
26.50000 25180392.916791908442974 9018089.440878622233868
27.00000 24931025.160613302141428 8994816.935377456247807
27.50000 24686085.204495817422867 8970197.001932557672262
28.00000 24445478.724853504449129 8944336.927148837596178
28.50000 24209112.560570683330297 8917336.799402782693505
29.00000 23976894.805808890610933 8889289.981590082868934
29.50000 23748734.921927310526371 8860283.565910315141082
30.00000 23524543.863435540348291 8830398.820979500189424
30.50000 23304234.142901558429003 8799711.584528017789125
31.00000 23087719.888017941266298 8768292.631818175315857
31.50000 22874916.886325601488352 8736208.018829533830285
32.00000 22665742.614538192749023 8703519.401033857837319
32.50000 22460116.254528433084488 8670284.327652011066675
33.00000 22257958.731629222631454 8636556.518838342279196
33.50000 22059192.709064114838839 8602386.124031620100141
34.00000 21863744.030541751533747 8567819.966215567663312
34.50000 21671535.906006444245577 8532901.741314079612494
35.00000 21482497.681626692414284 8497672.273233618587255
35.50000 21296558.892360687255859 8462169.646057276055217
36.00000 21113650.755892522633076 8426429.406800974160433
36.50000 20933706.158061314374208 8390484.738077847287059
37.00000 20756659.621588908135891 8354366.609187064692378
37.50000 20582447.278194621205330 8318103.919626683928072
38.00000 20411006.840203594416380 8281723.633463785983622
38.50000 20242277.570605065673590 8245250.904440627433360
39.00000 20076200.252171933650970 8208709.192669297568500
39.50000 19912717.155874110758305 8172120.373506425879896
40.00000 19751772.008560586720705 8135504.839020240120590
40.50000 19593309.960442911833525 8098881.592774197459221
41.00000 19437277.552161663770676 8062268.338177881203592
41.50000 19283622.681945133954287 8025681.561077785678208
42.00000 19132294.572487484663725 7989136.606807851232588
42.50000 18983243.734952095896006 7952647.751951686106622
43.00000 18836421.932285845279694 7916228.269725429825485
43.50000 18691782.166076280176640 7879890.494322948157787
44.00000 18549278.634925708174706 7843645.881193296983838
44.50000 18408866.701467934995890 7807505.061772794462740
45.00000 18270502.865988649427891 7771477.897461233660579
45.50000 18134144.751580186188221 7735573.539936868473887
46.00000 17999751.020959109067917 7699800.440127648413181
46.50000 17867281.384219951927662 7664166.410794429481030
47.00000 17736696.574266660958529 7628678.670567264780402
47.50000 17607958.313544001430273 7593343.877587237395346
48.00000 17481029.286278076469898 7558168.163814738392830
48.50000 17355873.111596759408712 7523157.167308906093240
49.00000 17232454.317857217043638 7488316.062850330956280
49.50000 17110738.317241422832012 7453649.590411481447518
50.00000 16990691.381290722638369 7419162.082050383090973
50.50000 16872280.616867311298847 7384857.487003237009048
51.00000 16755474.614499595016241 7350739.422467899508774
51.50000 16640240.729665482416749 7316811.090413439087570
52.00000 16526549.120307443663478 7283075.452055712230504
52.50000 16414370.008172925561666 7249535.147689809091389
53.00000 16303674.340136073529720 7216192.539337968453765
53.50000 16194433.767933875322342 7183049.727982504293323
54.00000 16086620.628531439229846 7150108.569792143069208
54.50000 15980207.924999110400677 7117370.691338011994958
55.00000 15875169.307983664795756 7084837.503923358395696
55.50000 15771479.057699477300048 7052510.217043282464147
56.00000 15669112.066437456756830 7020389.851035919971764
56.50000 15568043.821614250540733 6988477.248997297137976
57.00000 15468250.389294169843197 6956773.087971872650087
57.50000 15369708.398224251344800 6925277.889496793039143
58.00000 15272395.024317186325788 6893992.029505870305002
58.50000 15176287.975618898868561 6862915.747665579430759
59.00000 15081365.477708384394646 6832049.156150843016803
59.50000 14987606.259541202336550 6801392.247910828329623
60.00000 14894989.539718171581626 6770944.904451363720000
60.50000 14803495.013153700158000 6740706.903156042098999
61.00000 14713102.838154256343842 6710677.924185977317393
61.50000 14623793.623876273632050 6680857.556974491104484
62.00000 14535548.418143738061190 6651245.306342442519963
62.50000 14448348.695476708933711 6621840.598254016600549
63.00000 14362176.343138445168734 6592642.785024574026465
63.50000 14277013.647843888029456 6563651.149065875448287
64.00000 14192843.297888640314341 6534864.908832953311503
64.50000 14109648.365456029772758 6506283.224326993338764
65.00000 14027412.295607043430209 6477905.201268719509244
65.50000 13946118.900117881596088 6449729.897626342251897
66.00000 13865752.358017854392529 6421756.336969558149576
66.50000 13786297.165294343605638 6393983.481071972288191
67.00000 13707738.156597902998328 6366410.252102390863001
67.50000 13630060.497849855571985 6339035.538645209744573
68.00000 13553249.673928737640381 6311858.196074826642871
68.50000 13477291.479799304157495 6284877.048889329656959
69.00000 13402172.012476433068514 6258090.893313448876143
69.50000 13327877.663136195391417 6231498.499679289758205
70.00000 13254395.109795015305281 6205098.614919908344746
70.50000 13181711.309783555567265 6178889.964604291133583
71.00000 13109813.492843410000205 6152871.255153840407729
71.50000 13038689.154135759919882 6127041.175713085569441
72.00000 12968326.047631891444325 6101398.400045549497008
72.50000 12898712.179569048807025 6075941.588222532533109
73.00000 12829835.802226213738322 6050669.388310417532921
73.50000 12761685.407749129459262 6025580.437862370163202
74.00000 12694249.722223369404674 6000673.365371317602694
74.50000 12627517.699924521148205 5975946.791645104996860
75.00000 12561478.517674593254924 5951399.331053922884166
75.50000 12496121.569423953071237 5927029.592751307412982
76.00000 12431436.460953284054995 5902836.181796805933118
76.50000 12367413.004707187414169 5878817.700196838937700
77.00000 12304041.214821105822921 5854972.747916241176426
77.50000 12241311.302238918840885 5831299.923791719600558
78.00000 12179213.670012755319476 5807797.826422557234764
78.50000 12117738.908684264868498 5784465.054968496784568
79.00000 12056877.791839612647891 5761300.209930542856455
79.50000 11996621.271756783127785 5738301.893859098665416
80.00000 11936960.475185204297304 5715468.712026572786272
80.50000 11877886.699248859658837 5692799.273060299456120
81.00000 11819391.407439278438687 5670292.189518216066062
81.50000 11761466.225738316774368 5647946.078441197983921
82.00000 11704102.938840903341770 5625759.561863377690315
82.50000 11647293.486474314704537 5603731.267284094356000
83.00000 11591029.959823280572891 5581859.828111810609698
83.50000 11535304.598049385473132 5560143.884074418805540
84.00000 11480110.895293774083257 5538582.459698923863471
84.50000 11425439.176146609708667 5517173.472106507048011
85.00000 11371283.194813583046198 5495915.941202676855028
85.50000 11317635.749399734660983 5474808.535556948743761
86.00000 11264489.769928369671106 5453849.931703384034336
86.50000 11211838.315381232649088 5433038.814397753216326
87.00000 11159674.570814216509461 5412373.876853918656707
87.50000 11107991.844551626592875 5391853.820961091667414
88.00000 11056783.565449973568320 5371477.357480968348682
88.50000 11006043.280235437676311 5351243.206228922121227
89.00000 10955764.650910362601280 5331150.096237652003765
89.50000 10905941.452224651351571 5311196.765905713662505
90.00000 10856567.569214662536979 5291381.963130856864154
90.50000 10807636.994803253561258 5271704.445429804734886
91.00000 10759143.827462380751967 5252162.980044403113425
91.50000 10711082.268935110419989 5232756.344036665745080
92.00000 10663446.622014198452234 5213483.324369922280312
92.50000 10616231.288378121331334 5194342.717980987392366
93.00000 10569430.766480911523104 5175333.331841339357197
93.50000 10523039.649495523422956 5156453.983007953502238
94.00000 10477052.623308049514890 5137703.498665907420218
94.50000 10431464.464561924338341 5119080.716161618940532
95.00000 10386270.038751460611820 5100584.483028241433203
95.50000 10341464.298361133784056 5082213.657003227621317
96.00000 10297042.281052535399795 5063967.106039355508983
96.50000 10252999.107893971726298 5045843.708307722583413
97.00000 10209329.981635259464383 5027842.352195832878351
97.50000 10166030.185022626072168 5009961.936298693530262
98.00000 10123095.079156912863255 4992201.369405009783804
98.50000 10080520.101888751611114 4974559.570477508939803
99.00000 10038300.766255237162113 4957035.468628941103816
99.50000 9996432.658951969817281 4939628.003093312494457
100.00000 9954911.438843585550785 4922336.123192573897541
100.50000 9913732.835507996380329 4905158.788299702107906
101.00000 9872892.647816753014922 4888094.967797857709229
101.50000 9832386.742548510432243 4871143.641036017797887
102.00000 9792211.053034834563732 4854303.797281457111239
102.50000 9752361.577839057892561 4837574.435669137164950
103.00000 9712834.379464758560061 4820954.565148544497788
103.50000 9673625.583095259964466 4804443.204427297227085
104.00000 9634731.375362483784556 4788039.381913281045854
104.50000 9596148.003144152462482 4771742.135653742589056
105.00000 9557871.772388799116015 4755550.513272722251713
105.50000 9519899.046968091279268 4739463.571906619705260
106.00000 9482226.247555486857891 4723480.378137758001685
106.50000 9444849.850530205294490 4707600.007926678285003
107.00000 9407766.386906875297427 4691821.546542865224183
107.50000 9370972.441288879141212 4676144.088493910618126
108.00000 9334464.650845812633634 4660566.737454073503613
108.50000 9298239.704313902184367 4645088.606191157363355
109.00000 9262294.341019021347165 4629708.816492489539087
109.50000 9226625.349921518936753 4614426.499090703204274
110.00000 9191229.568682152777910 4599240.793587724678218
110.50000 9156103.882749494165182 4584150.848378943279386
111.00000 9121245.224467270076275 4569155.820576395839453
111.50000 9086650.572200886905193 4554254.875931461341679
112.00000 9052316.949484357610345 4539447.188757281750441
112.50000 9018241.424184761941433 4524731.941850544884801
113.00000 8984421.107686461880803 4510108.326413483358920
113.50000 8950853.154091043397784 4495575.541975184343755
114.00000 8917534.759437229484320 4481132.796312768943608
114.50000 8884463.160935370251536 4466779.305372980423272
115.00000 8851635.636220103129745 4452514.293193012475967
115.50000 8819049.502618163824081 4438336.991821868345141
116.00000 8786702.116432519629598 4424246.641241613775492
116.50000 8754590.872241267934442 4410242.489288765937090
117.00000 8722713.202212149277329 4396323.791575536131859
117.50000 8691066.575430911034346 4382489.811411889269948
118.00000 8659648.497244548052549 4368739.819727122783661
118.50000 8628456.508618000894785 4355073.094992054626346
119.00000 8597488.185504376888275 4341488.923141666688025
