B sxx sxy
0.00000 85369844.752055317163467 0.000000000000000
0.50000 85134706.113042652606964 2151685.284081398043782
1.00000 84469804.513965010643005 4221781.975204477086663
1.50000 83481705.138482347130775 6160236.706047408282757
2.00000 82253840.931447476148605 7940947.883306357078254
2.50000 80851970.482269927859306 9551292.405476320534945
3.00000 79327654.423661842942238 10987439.358887849375606
3.50000 77721905.503091663122177 12252187.246798103675246
4.00000 76067423.822306632995605 13353336.008904784917831
4.50000 74390056.704437866806984 14302078.311610411852598
5.00000 72709973.335468620061874 15111520.943108052015305
5.50000 71042572.674736231565475 15795495.764418106526136
6.00000 69399417.904767200350761 16367710.163440953940153
6.50000 67788930.437814459204674 16841202.317822821438313
7.00000 66217090.908504486083984 17228033.193948626518250
7.50000 64687946.658543728291988 17539145.769108790904284
8.00000 63204036.972920507192612 17784334.048550840467215
8.50000 61766772.638853922486305 17972279.330730348825455
9.00000 60376692.559329032897949 18110624.072346333414316
9.50000 59033691.462644040584564 18206063.809180233627558
10.00000 57737170.382556855678558 18264445.031686272472143
10.50000 56486198.531399607658386 18290861.301219586282969
11.00000 55279594.781739361584187 18289744.037970975041389
11.50000 54116010.637829139828682 18264945.078481502830982
12.00000 52993990.517596498131752 18219811.264762595295906
12.50000 51912019.945220209658146 18157250.493104264140129
13.00000 50868548.035223141312599 18079789.380625132471323
13.50000 49862030.610272184014320 17989623.947962921112776
14.00000 48890937.540271043777466 17888663.612631808966398
14.50000 47953769.501223511993885 17778569.405624400824308
15.00000 47049067.429326288402081 17660786.780622713267803
15.50000 46175419.298411004245281 17536574.107339609414339
16.00000 45331464.580923847854137 17407027.359197624027729
16.50000 44515896.661382056772709 17273101.320313759148121
17.00000 43727464.217543721199036 17135627.938876558095217
17.50000 42964974.258372306823730 16995332.300471618771553
18.00000 42227280.258827358484268 16852846.312617849558592
18.50000 41513297.849418431520462 16708720.470814485102892
19.00000 40821992.150903970003128 16563434.279827147722244
19.50000 40152378.843508109450340 16417405.165293121710420
20.00000 39503522.228872232139111 16270996.231313513591886
20.50000 38874533.191990241408348 16124523.008827084675431
21.00000 38264567.111736774444580 15978259.330797154456377
21.50000 37672821.732476830482483 15832442.449968114495277
22.00000 37098535.046338297426701 15687277.480218041688204
22.50000 36540983.410738922655582 15542941.325824752449989
