B sxx sxy
0.00000 8536994.020559472963214 0.000000000000000
0.50000 8554312.876821415498853 21640.304873948949535
1.00000 8541387.337451707571745 43316.176051629576250
1.50000 8537499.756990341469646 64962.764503259131743
2.00000 8534766.871617803350091 86578.104837938604760
2.50000 8532078.698115691542625 108154.547686216275906
3.00000 8529125.234565746039152 129683.771227580538834
3.50000 8525815.937714396044612 151157.547158764326014
4.00000 8522109.385319070890546 172567.937246268062154
4.50000 8517999.464187167584896 193907.374227726017125
5.00000 8513480.137102387845516 215168.683058500027983
5.50000 8508545.034799398854375 236345.088544734899187
6.00000 8503214.242820443585515 257430.216862991946982
6.50000 8497479.960182921960950 278418.070759874652140
7.00000 8491358.405803883448243 299303.026016456657089
7.50000 8484857.495913317427039 320079.806461457046680
8.00000 8477987.264355044811964 340743.466919136175420
8.50000 8470751.642384640872478 361289.372995377401821
9.00000 8463170.323654966428876 381713.186602070985828
9.50000 8455248.272684564813972 402010.841253644553944
10.00000 8446990.229575753211975 422178.528310172900092
10.50000 8438414.167445262894034 442212.683336200017948
11.00000 8429521.519701667129993 462109.964268569019623
11.50000 8420329.085067449137568 481867.244486225477885
12.00000 8410838.021823486313224 501481.592504724103492
12.50000 8401064.126087926328182 520950.266647119249683
13.00000 8391009.362686833366752 540270.697324901702814
13.50000 8380688.644020399078727 559440.482740743085742
14.00000 8370103.328558642417192 578457.373688944033347
14.50000 8359264.761068749241531 597319.269617285463028
15.00000 8348183.268239843659103 616024.208618094096892
15.50000 8336860.862203442491591 634570.358403903082944
16.00000 8325307.670163428410888 652956.013228561962023
16.50000 8313530.802098187617958 671179.585553520475514
17.00000 8301539.758729899302125 689239.601709119975567
17.50000 8289336.032874620519578 707134.694660572567955
18.00000 8276928.917797370813787 724863.602906613959931
18.50000 8264324.837596265599132 742425.164162755943835
19.00000 8251532.120399078354239 759818.312716338317841
19.50000 8238552.650197189301252 777042.074121323996224
20.00000 8225394.564277748577297 794095.565023473929614
20.50000 8212063.682569606229663 810977.988481431850232
21.00000 8198565.686019127257168 827688.631873909849674
21.50000 8184908.175913195125759 844226.865020586294122
22.00000 8171092.380040718242526 860592.136178433313034
22.50000 8157125.727270120754838 876783.972701154300012
23.00000 8143013.385084335692227 892801.977356229443103
23.50000 8128760.402409424073994 908645.826956617413089
24.00000 8114371.713086419738829 924315.270627978956327
24.50000 8099853.728743335232139 939810.128513261443004
25.00000 8085207.920448623597622 955130.288670381647535
25.50000 8070440.551971886307001 970275.707687858608551
26.00000 8055556.127891384065151 985246.407667316147126
26.50000 8040559.052618267945945 1000042.475038194213994
27.00000 8025453.632751748897135 1014664.058995583909564
27.50000 8010244.079620445147157 1029111.369973942055367
28.00000 7994934.511438268236816 1043384.678085474763066
28.50000 7979530.510303162969649 1057484.311911751516163
29.00000 7964032.859843424521387 1071410.655535008059815
29.50000 7948447.013277939520776 1085164.149038300849497
30.00000 7932776.736550359055400 1098745.285526092629880
30.50000 7917025.712298695929348 1112154.609871694119647
31.00000 7901197.541283039376140 1125392.717066105920821
31.50000 7885295.744262180291116 1138460.250616869889200
32.00000 7869323.763346541672945 1151357.900886020157486
32.50000 7853284.963539956137538 1164086.403444416588172
33.00000 7837183.796958262100816 1176646.537711306940764
33.50000 7821021.118276289664209 1189039.124171163421124
34.00000 7804801.268806473352015 1201265.024396726395935
34.50000 7788527.319000292569399 1213325.138274588854983
35.00000 7772202.269074945710599 1225220.402664063964039
35.50000 7755829.050112619996071 1236951.789747364586219
36.00000 7739410.525228027254343 1248520.305390822468325
36.50000 7722949.491025771945715 1259926.987583350623026
37.00000 7706448.678445597179234 1271172.904793896712363
37.50000 7689910.754073682241142 1282259.154426297172904
38.00000 7673338.321204552426934 1293186.861263815546408
38.50000 7656733.920926655642688 1303957.175926974276081
39.00000 7640101.185516181401908 1314571.273662654682994
