B sxx sxy
36.50000 29527145.995645962655544 15514196.775447947904468
37.00000 29167627.542598705738783 15341077.374269895255566
37.50000 28816765.108633611351252 15171745.685614345595241
38.00000 28474249.923389654606581 15006080.383118780329823
38.50000 28139787.714902896434069 14843965.173622515052557
39.00000 27813097.869693264365196 14685288.545294187963009
39.50000 27493912.650473929941654 14529943.530206259340048
40.00000 27181976.466929350048304 14377827.480451712384820
40.50000 26877045.195418581366539 14228841.856952238827944
41.00000 26578885.543822295963764 14082892.030167451128364
41.50000 26287274.458086818456650 13939887.091961760073900
42.00000 26001998.567304063588381 13799739.677937336266041
42.50000 25722853.664452698081732 13662365.799586869776249
43.00000 25449644.220153592526913 13527684.685661267489195
43.50000 25182182.927020888775587 13395618.632187748327851
44.00000 24920290.272393152117729 13266092.860611625015736
44.50000 24663794.137400563806295 13139035.383567679673433
45.00000 24412529.420501083135605 13014376.877822965383530
45.50000 24166337.683760084211826 12892050.563958631828427
46.00000 23925066.820292118936777 12771992.092389740049839
46.50000 23688570.741398259997368 12654139.435346554964781
47.00000 23456709.082059808075428 12538432.784465709701180
47.50000 23229346.923539921641350 12424814.453662585467100
48.00000 23006354.531951412558556 12313228.786976112052798
48.50000 22787607.111723080277443 12203622.071099134162068
49.00000 22572984.572991546243429 12095942.452323408797383
49.50000 22362371.312007136642933 11990139.857647478580475
50.00000 22155656.003710974007845 11886165.919809700921178
50.50000 21952731.405707634985447 11783973.906025517731905
51.00000 21753494.172911059111357 11683518.650220856070518
51.50000 21557844.682185973972082 11584756.488565582782030
52.00000 21365686.866370145231485 11487645.198125777766109
52.50000 21176928.057093422859907 11392143.938460789620876
53.00000 20991478.835854109376669 11298213.196006830781698
53.50000 20809252.892853949218988 11205814.731092253699899
54.00000 20630166.893122822046280 11114911.527444975450635
54.50000 20454140.349499486386776 11025467.744057668372989
55.00000 20281095.502060674130917 10937448.669282762333751
55.50000 20110957.203620802611113 10850820.677044032141566
56.00000 19943652.810950450599194 10765551.185047039762139
56.50000 19779112.081381753087044 10681608.614889621734619
57.00000 19617267.074490245431662 10598962.353969914838672
57.50000 19458052.058571465313435 10517582.719100790098310
58.00000 19301403.421633101999760 10437440.921742839738727
58.50000 19147259.586658898741007 10358509.034773539751768
59.00000 18995560.930900596082211 10280759.960714032873511
59.50000 18846249.708980478346348 10204167.401341924443841
60.00000 18699269.979594532400370 10128705.828618351370096
60.50000 18554567.535621959716082 10054350.456866620108485
61.00000 18412089.837456595152617 9981077.216138083487749
61.50000 18271785.949391648173332 9908862.726710019633174
62.00000 18133606.478889886289835 9837684.274656828492880
62.50000 17997503.518595367670059 9767519.788446171209216
63.00000 17863430.590936869382858 9698347.816507184877992
63.50000 17731342.595193102955818 9630147.505727801471949
64.00000 17601195.756890650838614 9562898.580833649262786
64.50000 17472947.579417709261179 9496581.324610136449337
65.00000 17346556.797739479690790 9431176.558925110846758
65.50000 17221983.334110267460346 9366665.626516912132502
66.00000 17099188.255682703107595 9303030.373511219397187
66.50000 16978133.733920127153397 9240253.132633985951543
67.00000 16858783.005721896886826 9178316.707087615504861
67.50000 16741100.336180862039328 9117204.355060705915093
68.00000 16625050.982889911159873 9056899.774842442944646
68.50000 16510601.161725567653775 8997387.090515347197652
69.00000 16397718.014037564396858 8938650.838198998942971
69.50000 16286369.575176808983088 8880675.952821213752031
70.00000 16176524.744297510012984 8823447.755393711850047
70.50000 16068153.255377035588026 8766951.940768875181675
71.00000 15961225.649392426013947 8711174.565858239308000
71.50000 15855713.247603692114353 8656102.038290685042739
72.00000 15751588.125890415161848 8601721.105493437498808
72.50000 15648823.090094324201345 8548018.844176031649113
