B sxx sxy
0.00000 42685977.667937278747559 0.000000000000000
0.50000 42661387.948061160743237 540780.723372378968634
1.00000 42568406.324196621775627 1075859.741796266520396
1.50000 42425305.115684844553471 1600424.288773707812652
2.00000 42236002.986508131027222 2110927.568343719467521
2.50000 42006368.673056043684483 2604796.735669105313718
3.00000 41741982.067485935986042 3080177.778554951772094
3.50000 41447776.632182270288467 3535742.410393969155848
4.00000 41128089.175971299409866 3970559.825501359999180
4.50000 40786763.701457865536213 4384015.778021286241710
5.00000 40427196.398782238364220 4775762.100429633632302
5.50000 40052398.426887787878513 5145683.046089337207377
6.00000 39665082.374044150114059 5493868.919709548354149
6.50000 39267652.266258522868156 5820591.516818897798657
7.00000 38862254.843647681176662 6126279.174999355338514
7.50000 38450819.333197683095932 6411491.197632179595530
8.00000 38035059.206049971282482 6676892.379379391670227
8.50000 37616479.247767657041550 6923228.604329686611891
9.00000 37196426.151968240737915 7151304.363444299437106
9.50000 36776063.887488082051277 7361962.717257090844214
10.00000 36356424.636029966175556 7556068.012380469590425
10.50000 35938405.219587676227093 7734491.363475462421775
11.00000 35522770.808605156838894 7898098.787152999080718
11.50000 35110190.036997042596340 8047741.766943439841270
12.00000 34701230.809130869805813 8184249.954263387247920
12.50000 34296378.419249802827835 8308425.717403203248978
13.00000 33896030.487908050417900 8421040.243839709088206
13.50000 33500528.119171742349863 8522830.932452462613583
14.00000 33110148.673084408044815 8614499.832277607172728
14.50000 32725116.728202041238546 8696712.903858598321676
15.00000 32345613.086041744798422 8770099.959311498329043
15.50000 31971770.186470173299313 8835255.074641473591328
16.00000 31603692.979514248669147 8892737.432239003479481
16.50000 31241452.757266648113728 8943072.380451688542962
17.00000 30885093.996111057698727 8986752.744311546906829
17.50000 30534637.928016640245914 9024240.252293206751347
18.00000 30190085.637779440730810 9055967.007200982421637
18.50000 29851423.381339196115732 9082337.048108439892530
19.00000 29518615.225791089236736 9103727.901152882725000
19.50000 29191620.070915754884481 9120492.080378821119666
20.00000 28870383.544014699757099 9132958.600685467943549
20.50000 28554842.233875207602978 9141434.430413484573364
21.00000 28244925.174194876104593 9146205.874307354912162
21.50000 27940555.087697524577379 9147539.886670459061861
22.00000 27641649.559183683246374 9145685.354992697015405
22.50000 27348123.665743604302406 9140874.293779704719782
23.00000 27059884.189871847629547 9133322.982506604865193
23.50000 26776840.423094816505909 9123232.994640702381730
24.00000 26498898.054481841623783 9110792.212613215669990
24.50000 26225961.457601513713598 9096175.768110176548362
25.00000 25957934.177027780562639 9079546.911896524950862
25.50000 25694719.371437929570675 9061057.838688088580966
26.00000 25436220.161391153931618 9040850.442059971392155
26.50000 25182339.898100953549147 9019057.000002292916179
27.00000 24932984.166989635676146 8995800.861698327586055
27.50000 24688054.309262681752443 8971197.059978559613228
28.00000 24447457.720028251409531 8945352.884354451671243
28.50000 24211101.220883309841156 8918368.412476567551494
29.00000 23978892.933557350188494 8890337.019854106009007
29.50000 23750742.338166639208794 8861345.810644056648016
30.00000 23526560.382229287177324 8831476.052153674885631
30.50000 23306259.567918483167887 8800803.582260012626648
31.00000 23089754.026856571435928 8769399.175991566851735
31.50000 22876960.775606274604797 8737328.890619542449713
