B sxx sxy
0.00000 2134256.459601504262537 0.000000000000000
0.50000 2184693.023753829766065 1325.344110568103360
1.00000 2149007.826267669908702 2694.049080965512530
1.50000 2141473.724369474686682 4053.335279188676395
2.00000 2138585.920739877037704 5410.088554465592097
2.50000 2137146.436582994647324 6765.711896201381023
3.00000 2136314.583559322170913 8120.654720818460191
3.50000 2135754.326093127951026 9475.082773882984839
4.00000 2135354.605378698091954 10829.068960512095146
4.50000 2135045.572303695604205 12182.633830577255139
5.00000 2134798.246502745430917 13535.777308170287142
5.50000 2134581.521106764674187 14888.482759401271323
6.00000 2134382.749180407263339 16240.728697460499461
6.50000 2134207.071051039732993 17592.492138372101181
7.00000 2134034.803397507406771 18943.741175748360547
7.50000 2133862.911166382022202 20294.445659204051481
8.00000 2133699.552291875239462 21644.576466966598673
8.50000 2133536.638392185792327 22994.100088979885186
9.00000 2133367.734270690008998 24342.983023153901740
9.50000 2133197.065640620887280 25691.193563095632271
10.00000 2133027.524876376613975 27038.699953820574592
10.50000 2132849.763830844778568 28385.467506408975169
11.00000 2132667.859570343047380 29731.464682790603547
11.50000 2132481.013407140504569 31076.659151481340814
12.00000 2132289.176730001345277 32421.018719419811532
12.50000 2132088.453269133809954 33764.510892860263993
13.00000 2131885.453211999963969 35107.105555045316578
13.50000 2131676.739654649514705 36448.770775671917363
14.00000 2131461.870026791468263 37789.475709942533285
14.50000 2131238.037222611717880 39129.189149508674745
15.00000 2131011.035201009362936 40467.882328252031584
15.50000 2130777.608874781988561 41805.524702216025617
16.00000 2130535.251992155797780 43142.086383413574367
16.50000 2130289.282570721115917 44477.539560606601299
17.00000 2130034.343100779689848 45811.854398523937562
17.50000 2129775.431191036012024 47145.003844503073196
18.00000 2129507.788955767638981 48476.958943547353556
18.50000 2129236.142975031863898 49807.693322994724440
19.00000 2128955.750388967804611 51137.178963133999787
19.50000 2128671.115948887076229 52465.390108740371943
20.00000 2128377.972649153321981 53792.299643700745946
20.50000 2128078.514084240421653 55117.882089203274518
21.00000 2127774.781012024264783 56442.112455717375269
21.50000 2127462.636867229826748 57764.964766944132862
22.00000 2127144.218251441605389 59086.414692034406471
22.50000 2126821.317129231523722 60406.438380245548615
23.00000 2126490.331737165339291 61725.010978085352690
23.50000 2126153.136812288314104 63042.109339786577038
24.00000 2125811.533903006929904 64357.710654197639087
24.50000 2125461.930400073993951 65671.791231908937334
25.00000 2125106.198592716362327 66984.329007373467903
25.50000 2124745.942580737173557 68295.302165755172609
26.00000 2124377.983192519284785 69604.688216778362403
26.50000 2124003.987750222440809 70912.466059412938193
27.00000 2123623.987860998604447 72218.614581420057220
27.50000 2123239.574283073656261 73523.113397453984362
28.00000 2122847.614586388692260 74825.941339077442535
28.50000 2122449.752228749450296 76127.078664931686944
29.00000 2122046.021449686493725 77426.505585088612861
29.50000 2121637.813360013533384 78724.202946137491381
